1,"Building 1.eso"

"Date/Time","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)","[1] Surface Inside Face Temperature  (C)","[1] Surface Outside Face Temperature  (C)"
,"Environment","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jan 01 01:00","0","0","14.075","58.7965364048413","27.5243356628643","18.6065526839467"
"Year 1 Jan 01 02:00","0","0","13.55","8.93321919051912","26.9068893471402","18.1488861128219"
"Year 1 Jan 01 03:00","0","0","13.125","-35.800168090334","26.3105853174002","17.9115492465384"
"Year 1 Jan 01 04:00","0","0","12.4","-72.2785362208936","25.7486839000083","17.2521377885296"
"Year 1 Jan 01 05:00","0","0","11.6","-100.929903992974","25.2199045355447","16.3918235702694"
"Year 1 Jan 01 06:00","0","0","10.8","-127.295054131648","24.719340978279","15.4909230724894"
"Year 1 Jan 01 07:00","0","0","10.975","-151.886010425978","24.2319151450894","15.1151782091971"
"Year 1 Jan 01 08:00","34.75","54.75","11.4","-175.585849701796","23.7609601369491","16.7537023479481"
"Year 1 Jan 01 09:00","110.25","294.5","11.875","-193.251066840326","23.3451559290151","23.8213936461413"
"Year 1 Jan 01 10:00","131.5","584","14.325","-192.080233764762","23.1413099922372","32.616789030618"
"Year 1 Jan 01 11:00","106.25","785.75","17.5","-159.070966578378","23.3437631789407","39.5837371035683"
"Year 1 Jan 01 12:00","117","829.75","20.625","-90.6959691576544","24.0008816254143","44.177526080862"
"Year 1 Jan 01 13:00","118.75","846.5","21.775","-2.41800521845865","25.0311420618713","47.1711776126889"
"Year 1 Jan 01 14:00","112.5","836.5","22.35","105.082499230041","26.2375275555781","48.4688303598034"
"Year 1 Jan 01 15:00","103.25","784.5","22.875","210.690944127711","27.4877007932457","47.9910233306816"
"Year 1 Jan 01 16:00","95.75","645.75","22.7","303.642623132639","28.667557990703","45.1416939525947"
"Year 1 Jan 01 17:00","76.5","363.75","22.3","377.918249750183","29.6409857462606","39.0607562731528"
"Year 1 Jan 01 18:00","29.25","38.25","21.9","415.431096062951","30.3046482563261","31.5238741949286"
"Year 1 Jan 01 19:00","0","0","20.375","408.66008398678","30.5443603203884","27.7364389453218"
"Year 1 Jan 01 20:00","0","0","18.4","366.731740861873","30.3850795635241","25.6066663089972"
"Year 1 Jan 01 21:00","0","0","16.475","306.630924395643","29.9696089794926","23.9514562004962"
"Year 1 Jan 01 22:00","0","0","15.775","240.81335307054","29.4268742984811","22.3687563342554"
"Year 1 Jan 01 23:00","0","0","15.55","174.60587568216","28.8370061310391","20.9443659571325"
"Year 1 Jan 02 00:00","0","0","15.275","112.942329074261","28.2236263816324","19.745269522134"
"Year 1 Jan 02 01:00","0","0","14.375","56.278763711033","27.6057288534148","18.8171069569983"
"Year 1 Jan 02 02:00","0","0","13.35","6.51188859860497","26.9908735000546","18.1279862263762"
"Year 1 Jan 02 03:00","0","0","12.275","-36.8685276250799","26.3935185210335","17.6153793053119"
"Year 1 Jan 02 04:00","0","0","11.325","-73.2860875959604","25.8213524733144","16.9462518089824"
"Year 1 Jan 02 05:00","0","0","10.35","-102.81214218201","25.2728557807827","16.1650570589005"
"Year 1 Jan 02 06:00","0","0","9.425","-129.743911448413","24.7486373337692","15.3824408455743"
"Year 1 Jan 02 07:00","0","0","9.725","-154.866488969652","24.2433274025941","14.9217517735963"
"Year 1 Jan 02 08:00","34.75","55","10.5","-179.011502779778","23.7603639530503","16.3598997802766"
"Year 1 Jan 02 09:00","109.25","299","11.225","-197.666212961416","23.3314384066041","22.9326382025787"
"Year 1 Jan 02 10:00","136.5","584","12.975","-198.15899486314","23.1007449003388","31.4482178662074"
"Year 1 Jan 02 11:00","132","753.5","15.075","-167.060617862716","23.2513665653307","38.5449124781734"
"Year 1 Jan 02 12:00","120","841.75","17.175","-101.014300256683","23.8447554117673","43.4502219379261"
"Year 1 Jan 02 13:00","110.25","875.75","19.275","-13.8819671778316","24.8187719774424","46.7220855486637"
"Year 1 Jan 02 14:00","105.75","862.75","21.375","90.7268236800678","26.0005007433539","48.2428321294605"
"Year 1 Jan 02 15:00","100.25","803.25","23.475","195.291079487913","27.2504813972756","47.8783523229994"
"Year 1 Jan 02 16:00","101.75","647.5","23.775","286.708810775914","28.4552583680335","45.1379422791666"
"Year 1 Jan 02 17:00","80.75","369.25","23.4","363.777580785825","29.4515117427244","39.3510807922572"
"Year 1 Jan 02 18:00","28.5","59.25","23.075","404.382566578959","30.1451040246525","32.0746327308273"
"Year 1 Jan 02 19:00","0","0","21.575","401.621484257362","30.4253892112769","28.0662542256767"
"Year 1 Jan 02 20:00","0","0","19.6","363.638060960773","30.3084953276493","25.7413911733831"
"Year 1 Jan 02 21:00","0","0","17.675","305.908171574584","29.926397296198","23.8435830212985"
"Year 1 Jan 02 22:00","0","0","16.375","241.512188867604","29.3994088819708","22.3216583301811"
"Year 1 Jan 02 23:00","0","0","15.35","176.354994105071","28.8089789780358","21.03750972062"
"Year 1 Jan 03 00:00","0","0","14.275","116.03205796076","28.1903604890317","19.8500245422892"
"Year 1 Jan 03 01:00","0","0","13.4","60.4476425500027","27.5702731947008","18.9351702532959"
"Year 1 Jan 03 02:00","0","0","12.6","10.6330364850521","26.9597419803887","18.2010991836607"
"Year 1 Jan 03 03:00","0","0","11.8","-32.6979953147822","26.3672815228377","17.5544990129631"
"Year 1 Jan 03 04:00","0","0","11.525","-69.6921035844811","25.7981969711801","16.8760767714087"
"Year 1 Jan 03 05:00","0","0","11.35","-100.355956785875","25.2498190246636","16.1667742888149"
"Year 1 Jan 03 06:00","0","0","11.225","-129.225570643148","24.7292165414711","15.5118794141701"
"Year 1 Jan 03 07:00","0","0","12.025","-155.745049221476","24.2334101060397","15.1988230500258"
"Year 1 Jan 03 08:00","34.5","55.75","13.05","-180.388204845565","23.7674435632262","16.6599982962063"
"Year 1 Jan 03 09:00","108.25","302.5","14.125","-198.852887896269","23.3614948793931","22.3792979193385"
"Year 1 Jan 03 10:00","135.5","588.25","16.125","-200.504799091198","23.1417004646235","29.8315598940825"
"Year 1 Jan 03 11:00","131.5","754.5","18.5","-174.037827509984","23.2610201474189","36.1280657231635"
"Year 1 Jan 03 12:00","121","839.25","20.825","-116.350792773449","23.7711753259326","40.5846416354842"
"Year 1 Jan 03 13:00","111.75","871","22.525","-37.6611078101299","24.6130396071376","43.8558253675801"
"Year 1 Jan 03 14:00","109.5","853.75","23.95","49.7340068208756","25.6780149364613","45.72079064768"
"Year 1 Jan 03 15:00","106.25","787","25.425","145.736556389062","26.8075873675111","46.0937461888771"
"Year 1 Jan 03 16:00","107","628.25","25.35","233.356520972253","27.9188046593998","44.1066773561397"
"Year 1 Jan 03 17:00","83.25","355.75","24.75","308.238931178561","28.8818114788114","39.1518539628541"
"Year 1 Jan 03 18:00","29.25","57","24.225","353.858074711708","29.5878192746341","32.5176177226112"
"Year 1 Jan 03 19:00","0","0","22.6","360.300799838596","29.9236194183337","28.791599388933"
