1,"Building 1.eso"

"Date/Time","[1] Surface Outside Face Temperature  (C)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)","[1] Surface Inside Face Temperature  (C)","[1] Site Outdoor Air Drybulb Temperature  (C)"
,"BLOCK1:ZONE1_WALL_3_0_0","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","Environment"
"Year 1 Jan 01 01:00","16.4898785404328","0","0","80.926476731486","21.8439501449082","14.075"
"Year 1 Jan 01 02:00","16.0048759778186","0","0","47.7089506692548","21.4416121794881","13.55"
"Year 1 Jan 01 03:00","15.6737118876025","0","0","15.5834701570286","21.0442569149264","13.125"
"Year 1 Jan 01 04:00","15.1706952748051","0","0","-11.8905049054313","20.6601517668114","12.4"
"Year 1 Jan 01 05:00","14.4956751350429","0","0","-35.0038506361143","20.293856394634","11.6"
"Year 1 Jan 01 06:00","13.7540905967153","0","0","-54.9729682348488","19.9373482464218","10.8"
"Year 1 Jan 01 07:00","13.4423498746744","0","0","-72.9086477411548","19.5800349198706","10.975"
"Year 1 Jan 01 08:00","13.9034632111098","54.75","34.75","-91.7884452365619","19.2341768878865","11.4"
"Year 1 Jan 01 09:00","15.5780205062044","294.5","110.25","-107.874038119367","18.9186316762595","11.875"
"Year 1 Jan 01 10:00","17.5825924398461","584","131.5","-117.983784262788","18.6811378637113","14.325"
"Year 1 Jan 01 11:00","19.3571599206554","785.75","106.25","-121.144630429299","18.5748657326348","17.5"
"Year 1 Jan 01 12:00","21.4371119021934","829.75","117","-114.633451898175","18.60522015886","20.625"
"Year 1 Jan 01 13:00","23.3334463236665","846.5","118.75","-98.8349983915812","18.7624225296126","21.775"
"Year 1 Jan 01 14:00","28.9731043446268","836.5","112.5","-72.6319043276169","19.0257515446468","22.35"
"Year 1 Jan 01 15:00","35.205314055045","784.5","103.25","-35.2563994363114","19.4488783037583","22.875"
"Year 1 Jan 01 16:00","38.9900263640825","645.75","95.75","19.4614481511132","20.1341915469099","22.7"
"Year 1 Jan 01 17:00","36.856808003821","363.75","76.5","91.7744531207627","21.0721625014672","22.3"
"Year 1 Jan 01 18:00","28.6753969655792","38.25","29.25","171.56991580625","22.0500339437284","21.9"
"Year 1 Jan 01 19:00","24.319920245091","0","0","224.112638414152","22.7728955473513","20.375"
"Year 1 Jan 01 20:00","22.2746350146978","0","0","238.729129463226","23.0868837553278","18.4"
"Year 1 Jan 01 21:00","20.6683796327542","0","0","224.053332121679","23.0780749260135","16.475"
"Year 1 Jan 01 22:00","19.4155153075936","0","0","194.376372332598","22.8744743170346","15.775"
"Year 1 Jan 01 23:00","18.3395161934027","0","0","156.796205155179","22.5716770751131","15.55"
"Year 1 Jan 02 00:00","17.4219904106086","0","0","117.861677169114","22.2171060916778","15.275"
"Year 1 Jan 02 01:00","16.6477227309953","0","0","81.103478869599","21.83389879062","14.375"
"Year 1 Jan 02 02:00","16.0287011140726","0","0","47.8385481786553","21.4358391389805","13.35"
"Year 1 Jan 02 03:00","15.4668922029694","0","0","17.2151953054719","21.0394644939899","12.275"
"Year 1 Jan 02 04:00","14.8000198470723","0","0","-9.7845969973965","20.6501209171685","11.325"
"Year 1 Jan 02 05:00","14.0867890801502","0","0","-33.7629251520054","20.2688622849769","10.35"
"Year 1 Jan 02 06:00","13.3754902308503","0","0","-55.0885387846215","19.8895792283646","9.425"
"Year 1 Jan 02 07:00","13.0201477042186","0","0","-74.1415030511494","19.5067254413518","9.725"
"Year 1 Jan 02 08:00","13.4151774939807","55","34.75","-94.3557687393497","19.1372001282537","10.5"
"Year 1 Jan 02 09:00","14.9729519661354","299","109.25","-112.075254035685","18.800566416585","11.225"
"Year 1 Jan 02 10:00","16.7691638489769","584","136.5","-123.536511353276","18.5393681968271","12.975"
"Year 1 Jan 02 11:00","18.3139849884036","753.5","132","-127.023074281204","18.3975995629286","15.075"
"Year 1 Jan 02 12:00","19.7378685133593","841.75","120","-121.011497110281","18.3805350832005","17.175"
"Year 1 Jan 02 13:00","21.6246704311769","875.75","110.25","-107.561051241318","18.4725488549052","19.275"
"Year 1 Jan 02 14:00","27.9789670552927","862.75","105.75","-87.9987606451587","18.664563309044","21.375"
"Year 1 Jan 02 15:00","34.745354936798","803.25","100.25","-56.621710298911","19.0339079346688","23.475"
"Year 1 Jan 02 16:00","38.7234307218121","647.5","101.75","-3.41323853367555","19.6981662364589","23.775"
"Year 1 Jan 02 17:00","36.9950187841468","369.25","80.75","69.2681142812774","20.6484881476742","23.4"
"Year 1 Jan 02 18:00","29.2783415339623","59.25","28.5","150.99804912524","21.6671312056595","23.075"
"Year 1 Jan 02 19:00","24.5964149876195","0","0","208.91099818237","22.4466838490358","21.575"
"Year 1 Jan 02 20:00","22.4435306949176","0","0","229.385419183776","22.8224703348059","19.6"
"Year 1 Jan 02 21:00","20.7635238990095","0","0","219.162070036189","22.8644699822578","17.675"
"Year 1 Jan 02 22:00","19.460947269991","0","0","192.420241208736","22.6983177566526","16.375"
"Year 1 Jan 02 23:00","18.3828335584219","0","0","158.178815804724","22.4155008054704","15.35"
"Year 1 Jan 03 00:00","17.3842369568229","0","0","121.921635799043","22.0701108058546","14.275"
"Year 1 Jan 03 01:00","16.5961160839042","0","0","86.8290565981972","21.6903014275861","13.4"
"Year 1 Jan 03 02:00","15.9265722543201","0","0","53.0543171168031","21.2972127950916","12.6"
"Year 1 Jan 03 03:00","15.2810543838938","0","0","22.0870648559694","20.9024350727213","11.8"
"Year 1 Jan 03 04:00","14.7294825037124","0","0","-5.8748032501947","20.5127560151577","11.525"
"Year 1 Jan 03 05:00","14.1978035766559","0","0","-31.3212665580511","20.133114509878","11.35"
"Year 1 Jan 03 06:00","13.626340797798","0","0","-53.4601250768267","19.7618842984454","11.225"
"Year 1 Jan 03 07:00","13.4705940094237","0","0","-72.9251282961505","19.3976993450669","12.025"
"Year 1 Jan 03 08:00","14.0572025885801","55.75","34.5","-93.0580409245469","19.0600557776421","13.05"
"Year 1 Jan 03 09:00","15.6836971822988","302.5","108.25","-109.438201671665","18.7638240908334","14.125"
"Year 1 Jan 03 10:00","17.6720554581262","588.25","135.5","-119.225971953795","18.5507094740444","16.125"
"Year 1 Jan 03 11:00","19.5956650786552","754.5","131.5","-120.663720084667","18.4617214447124","18.5"
"Year 1 Jan 03 12:00","21.4542325216209","839.25","121","-112.162704509226","18.5075255866351","20.825"
"Year 1 Jan 03 13:00","23.4108932388173","871","111.75","-94.9294942329084","18.6775471319036","22.525"
"Year 1 Jan 03 14:00","29.1838411059284","853.75","109.5","-70.0313011235222","18.9563959362941","23.95"
"Year 1 Jan 03 15:00","35.5973347732138","787","106.25","-33.7645935197554","19.3985410623633","25.425"
"Year 1 Jan 03 16:00","39.3215115790068","628.25","107","21.822974958913","20.1042930230702","25.35"
"Year 1 Jan 03 17:00","37.6208141836012","355.75","83.25","93.618998886863","21.0737746130601","24.75"
