1,"eplusout.eso"

"Date/Time","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Temperature  (C)","[1] Surface Outside Face Temperature  (C)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)"
,"Environment","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jan 01 01:00","0","0","14.075","17.7586473431787","14.6418402120147","25.2086162688933"
"Year 1 Jan 01 02:00","0","0","13.55","17.548425378458","14.1579633833345","10.8415602479861"
"Year 1 Jan 01 03:00","0","0","13.125","17.3290863819871","13.8360635564514","-4.67300618107669"
"Year 1 Jan 01 04:00","0","0","12.4","17.103032689551","13.3868883581967","-18.8176943844978"
"Year 1 Jan 01 05:00","0","0","11.6","16.8742066804914","12.8445768996637","-31.45254122761"
"Year 1 Jan 01 06:00","0","0","10.8","16.6400512453607","12.2494826453338","-43.1114792374667"
"Year 1 Jan 01 07:00","0","0","10.975","16.3973867211216","12.002495334698","-54.6760118518267"
"Year 1 Jan 01 08:00","34.75","54.75","11.4","16.1579549919253","12.490592304018","-67.7375280396682"
"Year 1 Jan 01 09:00","110.25","294.5","11.875","15.9387888913206","14.2254005232401","-78.7724461410059"
"Year 1 Jan 01 10:00","131.5","584","14.325","15.7894347357989","16.312928070505","-84.9072312897252"
"Year 1 Jan 01 11:00","106.25","785.75","17.5","15.7664626322787","18.2245949409931","-85.1928583766432"
"Year 1 Jan 01 12:00","117","829.75","20.625","15.8797391633875","20.4754112318875","-76.8109523482033"
"Year 1 Jan 01 13:00","118.75","846.5","21.775","16.123116965615","21.8488821605133","-59.5640162466003"
"Year 1 Jan 01 14:00","112.5","836.5","22.35","16.4578354809569","22.5760881453773","-31.8174873578363"
"Year 1 Jan 01 15:00","103.25","784.5","22.875","16.8484910409591","22.9520481554668","-2.17342578567468"
"Year 1 Jan 01 16:00","95.75","645.75","22.7","17.2518557382176","22.6701867898192","25.9858470933108"
"Year 1 Jan 01 17:00","76.5","363.75","22.3","17.6318501725411","21.858123318927","49.8802272181832"
"Year 1 Jan 01 18:00","29.25","38.25","21.9","17.9452516003524","20.578518470312","69.2002779108345"
"Year 1 Jan 01 19:00","0","0","20.375","18.163708075515","19.2272750764788","80.9503514418507"
"Year 1 Jan 01 20:00","0","0","18.4","18.2695022410597","18.0662787368217","85.5831379337373"
"Year 1 Jan 01 21:00","0","0","16.475","18.2711809997607","17.010298236489","82.719857917168"
"Year 1 Jan 01 22:00","0","0","15.775","18.1877923679247","16.2718637979062","73.7686234003708"
"Year 1 Jan 01 23:00","0","0","15.55","18.0490178614601","15.7619065715926","59.2235285257104"
"Year 1 Jan 02 00:00","0","0","15.275","17.8764174064528","15.3474415420521","42.8408530535275"
"Year 1 Jan 02 01:00","0","0","14.375","17.684822651837","14.7504434614677","27.1026061464868"
"Year 1 Jan 02 02:00","0","0","13.35","17.4795235061964","14.1380564221116","12.6752321159538"
"Year 1 Jan 02 03:00","0","0","12.275","17.2618518848985","13.5739965887005","-1.62284217222747"
"Year 1 Jan 02 04:00","0","0","11.325","17.030251440839","12.9873056581263","-15.4231648148749"
"Year 1 Jan 02 05:00","0","0","10.35","16.7867634544902","12.3704644507006","-29.0372433226701"
"Year 1 Jan 02 06:00","0","0","9.425","16.5301510973739","11.7507271461137","-42.1726124741692"
"Year 1 Jan 02 07:00","0","0","9.725","16.2602186447927","11.4675892074692","-54.9890482678032"
"Year 1 Jan 02 08:00","34.75","55","10.5","15.9928279938335","11.9449820121186","-69.4818664641926"
"Year 1 Jan 02 09:00","109.25","299","11.225","15.7497518281967","13.611881475687","-82.4319395807418"
"Year 1 Jan 02 10:00","136.5","584","12.975","15.576591688502","15.5085782299364","-89.9382877712773"
"Year 1 Jan 02 11:00","132","753.5","15.075","15.5204809651386","17.1518826502591","-90.3220159996613"
"Year 1 Jan 02 12:00","120","841.75","17.175","15.5875154239755","18.6716259700827","-81.7523291069522"
