Date/Time,[1] Surface Outside Face Temperature  (C),[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Surface Inside Face Conduction Heat Transfer Rate  (W),[1] Surface Inside Face Temperature  (C)
,BLOCK1:ZONE1_WALL_3_0_0,Environment,Environment,Environment,BLOCK1:ZONE1_WALL_3_0_0,BLOCK1:ZONE1_WALL_3_0_0
Year 1 Jan 01 01:00,18.64770232,0,0,15.325,63.53450208,22.53829109
Year 1 Jan 01 02:00,17.20232365,0,0,12.875,42.96741767,22.26661584
Year 1 Jan 01 03:00,16.46979972,0,0,12.05,21.42953328,21.94764068
Year 1 Jan 01 04:00,15.83996122,0,0,10.875,-3.731392494,21.59811011
Year 1 Jan 01 05:00,15.87025663,0,0,12.825,-27.48844406,21.23153711
Year 1 Jan 01 06:00,15.66671537,0,0,13.15,-51.47432301,20.88450001
Year 1 Jan 01 07:00,15.52795393,0,0,13.6,-68.63027673,20.555384
Year 1 Jan 01 08:00,15.91217154,1,0,14.7,-85.42042199,20.26539302
Year 1 Jan 01 09:00,17.37838794,16.25,177,17.475,-99.54649168,20.01862667
Year 1 Jan 01 10:00,20.31766803,53.5,754.75,20.7,-110.5339437,19.8525274
Year 1 Jan 01 11:00,23.2373569,60.5,894.25,24.125,-111.6125992,19.81946649
Year 1 Jan 01 12:00,25.31065297,90,861,26.05,-100.3484469,19.96052076
Year 1 Jan 01 13:00,27.14490326,172,655,27,-73.92499512,20.2497722
Year 1 Jan 01 14:00,30.11055924,298,284.75,26.45,-38.93089339,20.64808723
Year 1 Jan 01 15:00,31.15244984,269.75,164.25,25.9,3.104247525,21.14067281
Year 1 Jan 01 16:00,30.47507143,199.25,95.25,24.9,46.16713808,21.72038807
Year 1 Jan 01 17:00,30.35304915,135.5,102.5,24.3,89.41111893,22.28471591
Year 1 Jan 01 18:00,26.65347972,44.25,17.25,23.15,125.5154308,22.78104929
Year 1 Jan 01 19:00,24.06042159,0,0,22.425,148.212767,23.12851541
Year 1 Jan 01 20:00,22.88339603,0,0,21.325,150.9549689,23.27770918
Year 1 Jan 01 21:00,22.41617888,0,0,20.775,140.1636427,23.25790441
Year 1 Jan 01 22:00,21.62494393,0,0,19.725,121.4796664,23.14369286
Year 1 Jan 01 23:00,20.77293303,0,0,18.8,102.3407061,22.9776508
Year 1 Jan 02 00:00,19.83255895,0,0,17.1,82.31365362,22.7778343
Year 1 Jan 02 01:00,19.1024709,0,0,15.775,63.33174221,22.54098597
Year 1 Jan 02 02:00,18.17929484,0,0,14.375,42.34451329,22.28189229
Year 1 Jan 02 03:00,17.35994471,0,0,14,21.73296534,22.00053199
Year 1 Jan 02 04:00,16.83537238,0,0,13.55,-0.252759057,21.70358457
Year 1 Jan 02 05:00,16.43407704,0,0,13.25,-20.88758474,21.39230657
Year 1 Jan 02 06:00,15.6377445,0,0,12.3,-39.92757304,21.07988051
Year 1 Jan 02 07:00,15.22168978,0,0,12.3,-56.58797646,20.76399988
Year 1 Jan 02 08:00,15.44728661,5.75,7,12.85,-72.96010321,20.44646563
Year 1 Jan 02 09:00,16.55136826,30.5,197,15.4,-89.66510588,20.15492176
Year 1 Jan 02 10:00,19.00723183,54.75,744.75,18.45,-104.3651776,19.93213199
Year 1 Jan 02 11:00,21.87261066,66.75,863,22.05,-110.5288919,19.82462546
Year 1 Jan 02 12:00,24.16833414,78.75,896,24.275,-105.2016615,19.87982874
Year 1 Jan 02 13:00,25.69190695,70.75,976.5,25.9,-85.2784149,20.09273426
Year 1 Jan 02 14:00,29.8758752,125.25,791.5,26.075,-56.22694377,20.42803318
Year 1 Jan 02 15:00,33.80492504,163,592,26.3,-16.94922635,20.87933923
Year 1 Jan 02 16:00,33.7609755,210.75,256,25.65,31.83402498,21.50259684
Year 1 Jan 02 17:00,36.29909137,114.5,358.75,25.1,85.91364379,22.22509778
Year 1 Jan 02 18:00,29.31407766,53.25,34.5,23.575,144.3967313,22.96568777
Year 1 Jan 02 19:00,25.00823813,0,0,22.5,188.7421143,23.55654345
Year 1 Jan 02 20:00,23.27914902,0,0,21.175,201.2972592,23.84314758
Year 1 Jan 02 21:00,22.50576491,0,0,20.875,189.2818725,23.85594405
Year 1 Jan 02 22:00,21.81934155,0,0,20.3,163.1788284,23.71654106
Year 1 Jan 02 23:00,21.33906718,0,0,20.025,134.841359,23.50472155
Year 1 Jan 03 00:00,20.45934285,0,0,18.65,107.0414537,23.26697335
Year 1 Jan 03 01:00,19.70775751,0,0,17.3,83.21444452,23.00827279
Year 1 Jan 03 02:00,18.82637433,0,0,15.5,60.14215464,22.7337938
Year 1 Jan 03 03:00,18.13194266,0,0,14.7,38.01798635,22.44264362
Year 1 Jan 03 04:00,17.33778618,0,0,13.7,15.12131549,22.14204409
Year 1 Jan 03 05:00,15.36004358,0,0,10.85,-5.381223411,21.82386099
Year 1 Jan 03 06:00,13.68001107,0,0,8.575,-24.76990239,21.46330618
Year 1 Jan 03 07:00,13.12432791,0,0,8.325,-49.10788432,21.04425099
Year 1 Jan 03 08:00,13.90675444,7.5,25.5,10.2,-76.14409638,20.58674605
Year 1 Jan 03 09:00,15.72397237,42.25,199.5,14.175,-102.9806108,20.15820952
Year 1 Jan 03 10:00,18.95275968,65.75,636.75,18.825,-125.9747277,19.84696376
Year 1 Jan 03 11:00,21.60730992,32,1055.5,23,-135.9142583,19.70782329
Year 1 Jan 03 12:00,24.06437776,60,982,25.425,-129.5753358,19.76617525
Year 1 Jan 03 13:00,26.04032089,124.25,798.5,26.275,-106.9754165,19.99173304
Year 1 Jan 03 14:00,29.95704272,242,439.5,25.95,-72.65971211,20.34478175
Year 1 Jan 03 15:00,32.57183777,274.75,276.25,25.575,-29.22532164,20.82343262
Year 1 Jan 03 16:00,34.23801742,218,262.5,25.2,21.36014099,21.44364825
Year 1 Jan 03 17:00,36.38534362,139.25,294.25,25.025,74.41414936,22.16403192
Year 1 Jan 03 18:00,35.00806992,62.25,207.75,24.175,133.8181201,22.91637572
Year 1 Jan 03 19:00,26.33598815,0,0,22.625,189.270256,23.63312244
Year 1 Jan 03 20:00,23.52007233,0,0,20.1,219.8042184,24.0908883
Year 1 Jan 03 21:00,21.20758153,0,0,17.45,217.4468362,24.18510231
Year 1 Jan 03 22:00,19.51424625,0,0,15.225,193.0869895,24.01261716
Year 1 Jan 03 23:00,18.7334628,0,0,14.175,156.7157826,23.6789727
Year 1 Jan 04 00:00,18.47190735,0,0,14.075,115.0685959,23.27343563
Year 1 Jan 04 01:00,18.0683548,0,0,14.7,74.74462158,22.86023296
Year 1 Jan 04 02:00,17.91608683,0,0,14.975,39.20580315,22.47203293
Year 1 Jan 04 03:00,17.3523479,0,0,14.55,10.31087053,22.11151596
Year 1 Jan 04 04:00,16.03302201,0,0,12.825,-12.79140711,21.77448976
Year 1 Jan 04 05:00,14.90019158,0,0,11.025,-32.42165281,21.4315414
Year 1 Jan 04 06:00,13.98389404,0,0,9.7,-52.66305601,21.06165473
Year 1 Jan 04 07:00,13.41898535,0,0,9.775,-73.47391082,20.66365731
Year 1 Jan 04 08:00,13.52992091,7.75,37.5,11.025,-95.27375,20.25614965
Year 1 Jan 04 09:00,15.29529225,30,347.25,14.325,-118.3167669,19.87878974
Year 1 Jan 04 10:00,17.92615999,29.5,954.5,18.15,-137.9791754,19.58749914
Year 1 Jan 04 11:00,20.96968412,32.5,1025.75,22.025,-146.3048568,19.44123344
Year 1 Jan 04 12:00,22.75099693,18,1100,24.2,-140.1935661,19.47619283
Year 1 Jan 04 13:00,24.44726546,40.25,1032.5,25.275,-118.826852,19.6701173
Year 1 Jan 04 14:00,29.0141928,124.25,796.5,24.975,-88.06208115,19.97464046
Year 1 Jan 04 15:00,33.59978912,171.25,585.75,24.875,-47.1800901,20.40392086
Year 1 Jan 04 16:00,35.0403853,206.25,332,24.675,5.060815183,21.02869837
Year 1 Jan 04 17:00,39.82209207,103.75,498,24.9,63.84952997,21.81097165
Year 1 Jan 04 18:00,36.27216287,61.5,227.25,24.4,133.8042364,22.69817055
Year 1 Jan 04 19:00,27.49386982,0,0,23.525,202.2188711,23.56684644
Year 1 Jan 04 20:00,24.77796306,0,0,21.575,240.1021556,24.13721277
Year 1 Jan 04 21:00,22.6107692,0,0,19.575,241.553458,24.31372534
Year 1 Jan 04 22:00,20.54375761,0,0,17.15,218.7261144,24.21361697
Year 1 Jan 04 23:00,18.99482926,0,0,15.375,184.9100686,23.9335906
Year 1 Jan 05 00:00,18.0448297,0,0,13.65,144.1330107,23.54663713
Year 1 Jan 05 01:00,17.36066011,0,0,12.825,103.0746942,23.10036246
Year 1 Jan 05 02:00,16.67256069,0,0,12.175,62.34076607,22.64708754
Year 1 Jan 05 03:00,16.07806584,0,0,12.075,26.09947296,22.20029728
Year 1 Jan 05 04:00,15.60165596,0,0,11.425,-6.370863184,21.77004495
Year 1 Jan 05 05:00,14.38866717,0,0,10.6,-33.54737059,21.35241427
Year 1 Jan 05 06:00,13.60595592,0,0,9.5,-57.67173082,20.93948128
Year 1 Jan 05 07:00,13.31738798,0,0,9.275,-79.6656558,20.51268954
Year 1 Jan 05 08:00,13.47052334,1.25,0,10.275,-101.9519648,20.0942318
Year 1 Jan 05 09:00,14.61511634,12.5,217,13.075,-123.68943,19.71693968
Year 1 Jan 05 10:00,17.319104,27.75,926,16.825,-142.2126591,19.4182227
Year 1 Jan 05 11:00,19.8945151,10.25,1100,20.95,-151.4125162,19.25333854
Year 1 Jan 05 12:00,22.66696996,21.5,1100,24.025,-147.7408779,19.25966955
Year 1 Jan 05 13:00,24.91245369,41,1035.5,26.125,-129.450898,19.43611354
Year 1 Jan 05 14:00,30.13042624,155,713.5,26.75,-98.71171541,19.76087952
Year 1 Jan 05 15:00,33.27581676,271.25,294.5,26.8,-54.33300625,20.24541268
Year 1 Jan 05 16:00,33.79221432,223.75,194,26.125,2.715576664,20.91845557
Year 1 Jan 05 17:00,33.09540239,146.5,161,25.225,62.07287698,21.70004606
Year 1 Jan 05 18:00,29.03761258,59.25,46.5,23.65,120.1053265,22.44138819
Year 1 Jan 05 19:00,24.40990258,0,0,21.925,162.3549969,23.0001942
Year 1 Jan 05 20:00,22.45742607,0,0,19.775,177.7721243,23.27963056
Year 1 Jan 05 21:00,21.23548466,0,0,17.85,170.1824007,23.29136569
Year 1 Jan 05 22:00,20.11553126,0,0,15.975,149.0426498,23.12898977
Year 1 Jan 05 23:00,18.92414987,0,0,14.675,122.572586,22.86959988
Year 1 Jan 06 00:00,17.7913542,0,0,13.575,92.9021519,22.55732821
Year 1 Jan 06 01:00,16.83036408,0,0,13.075,62.17178559,22.20802624
Year 1 Jan 06 02:00,15.72223329,0,0,12.55,31.10554219,21.83450387
Year 1 Jan 06 03:00,14.86859951,0,0,12.25,1.331196825,21.44032784
Year 1 Jan 06 04:00,14.16459864,0,0,11.525,-27.38478508,21.02972549
Year 1 Jan 06 05:00,14.30653602,0,0,11.075,-53.29023294,20.60885851
Year 1 Jan 06 06:00,14.01131302,0,0,10.4,-75.42412654,20.19797193
Year 1 Jan 06 07:00,13.34083665,0,0,10.65,-94.52945849,19.82346707
Year 1 Jan 06 08:00,13.697245,7,15,12,-112.609501,19.48086501
Year 1 Jan 06 09:00,15.36049915,34.25,220.5,15.025,-129.7732001,19.1724216
Year 1 Jan 06 10:00,18.21066275,43.25,801.5,18.75,-143.3856226,18.94778081
Year 1 Jan 06 11:00,21.05242101,18.25,1099.5,22.625,-146.7952836,18.86427348
Year 1 Jan 06 12:00,23.82656479,57.5,1010,25.25,-137.025092,18.95752278
Year 1 Jan 06 13:00,26.25261252,163,673.25,26.7,-112.1080331,19.21843815
Year 1 Jan 06 14:00,30.204326,253.75,407.5,26.7,-75.16927643,19.62244356
Year 1 Jan 06 15:00,32.58256297,277,229.5,26.15,-27.25504648,20.16028209
Year 1 Jan 06 16:00,31.38204388,204.25,100,25.175,27.57494274,20.83688277
Year 1 Jan 06 17:00,28.46167208,109,34,24.225,80.09016786,21.54842419
Year 1 Jan 06 18:00,27.38147635,54.75,32.25,22.875,123.3489593,22.11433156
Year 1 Jan 06 19:00,23.40850393,0,0,21.45,148.7991765,22.49402524
Year 1 Jan 06 20:00,21.67683659,0,0,19.525,155.808386,22.67179713
Year 1 Jan 06 21:00,20.14104908,0,0,17.725,146.4036401,22.64523829
Year 1 Jan 06 22:00,18.56422275,0,0,15.8,126.3315463,22.4716494
Year 1 Jan 06 23:00,17.24875808,0,0,14.325,100.4325431,22.19537381
Year 1 Jan 07 00:00,16.23972733,0,0,13.025,69.95727219,21.85086892
Year 1 Jan 07 01:00,15.64796471,0,0,12.475,38.17603412,21.46310397
Year 1 Jan 07 02:00,15.48472283,0,0,12.1,6.776135099,21.06113418
Year 1 Jan 07 03:00,15.14339352,0,0,12.075,-20.93420263,20.66792433
Year 1 Jan 07 04:00,14.96568307,0,0,11.65,-44.28641983,20.30015568
Year 1 Jan 07 05:00,15.11978927,0,0,13.675,-63.04045306,19.95650221
Year 1 Jan 07 06:00,15.03719429,0,0,13.95,-81.61852438,19.66136856
Year 1 Jan 07 07:00,15.22156391,0,0,14.325,-93.92551841,19.39937843
Year 1 Jan 07 08:00,15.41288683,5.5,6,14.875,-104.303488,19.17635715
Year 1 Jan 07 09:00,16.79746308,38,125.5,17.175,-111.698277,18.99272235
Year 1 Jan 07 10:00,19.37531334,74.25,569,19.85,-117.3732499,18.87720888
Year 1 Jan 07 11:00,22.15951115,69.5,883.25,23.125,-114.7341719,18.87440212
Year 1 Jan 07 12:00,24.86105685,195.5,495.75,24.975,-102.2409143,19.02599362
Year 1 Jan 07 13:00,27.16200274,301,271.25,26.275,-75.10754302,19.32615944
Year 1 Jan 07 14:00,29.8791134,304.25,291.5,26.15,-38.36475616,19.76021065
Year 1 Jan 07 15:00,31.61607955,281.5,211,26.225,6.458588653,20.3005241
Year 1 Jan 07 16:00,32.01135917,221.25,159.75,25.475,52.30291649,20.94045497
Year 1 Jan 07 17:00,32.22335826,148.25,168.5,25.05,101.9034043,21.5951151
Year 1 Jan 07 18:00,28.53901581,60,46.5,23.725,146.9153356,22.21203563
Year 1 Jan 07 19:00,24.71111527,0,0,23,179.8321396,22.69088978
Year 1 Jan 07 20:00,23.49365401,0,0,21.925,189.0663517,22.94616202
Year 1 Jan 07 21:00,22.71463034,0,0,21.825,179.9790376,22.98938142
Year 1 Jan 07 22:00,22.17255934,0,0,21.15,159.5220243,22.91277824
Year 1 Jan 07 23:00,21.43922625,0,0,20.525,137.491553,22.77006721
Year 1 Jan 08 00:00,20.19658312,0,0,18.525,115.191591,22.59615613
Year 1 Jan 08 01:00,19.22679116,0,0,16.7,95.7706307,22.37761987
Year 1 Jan 08 02:00,18.09638596,0,0,14.725,73.76831828,22.1222833
Year 1 Jan 08 03:00,17.33469624,0,0,14.2,51.02143068,21.83059116
Year 1 Jan 08 04:00,16.757293,0,0,13.825,25.33107438,21.52014338
