1,"Building 1.eso"

"Date/Time","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Temperature  (C)","[1] Surface Outside Face Temperature  (C)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)"
,"Environment","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jan 01 01:00","0","0","16.225","26.4494734639198","19.3312731564777","21.9821366895651"
"Year 1 Jan 01 02:00","0","0","17.7","25.8923612037286","19.8451188127972","-27.5079395824401"
"Year 1 Jan 01 03:00","0","0","17.5","25.4203304632603","19.7147838122226","-59.3682949328253"
"Year 1 Jan 01 04:00","0","0","16.65","25.0303866320183","19.2173377934815","-81.1263438634366"
"Year 1 Jan 01 05:00","0","0","11.9","24.6868441702494","16.6267476915622","-96.8356963466776"
"Year 1 Jan 01 06:00","0","0","9.8","24.3100828196857","15.2731954682654","-108.183348116859"
"Year 1 Jan 01 07:00","0","0","9.825","23.8780844139495","15.1898569068831","-128.73314765023"
"Year 1 Jan 01 08:00","11.75","86.5","11.025","23.4218320765827","16.9283299892107","-151.984806201436"
"Year 1 Jan 01 09:00","52.75","431","13.05","23.0205845186859","24.8744287052992","-171.906108836985"
"Year 1 Jan 01 10:00","62.5","767.75","15.475","22.85560476306","33.9086353204116","-171.617666721471"
"Year 1 Jan 01 11:00","45.5","1003.25","17.675","23.1159472189658","41.2264149934484","-134.98702241798"
"Year 1 Jan 01 12:00","75","937.25","19.475","23.8510939828994","45.3695048298861","-61.5438564353629"
"Year 1 Jan 01 13:00","126","789.25","20.725","24.9553665598456","47.5006572134511","32.2766153145175"
"Year 1 Jan 01 14:00","166","646.75","21.6","26.1959902869413","48.7497436343411","143.427766535354"
"Year 1 Jan 01 15:00","185.75","461.5","22.025","27.4547943387611","45.9879468483229","246.821649346629"
"Year 1 Jan 01 16:00","189","155","21.95","28.5871664987013","39.514148312474","334.574858923792"
"Year 1 Jan 01 17:00","106.25","90","21.225","29.3912151185213","34.3840221342499","389.566657787877"
"Year 1 Jan 01 18:00","19","10.5","19.725","29.7957633296296","29.2072545769356","401.778506378788"
"Year 1 Jan 01 19:00","0","0","17.575","29.8136429596168","25.8742857385836","377.741385653817"
"Year 1 Jan 01 20:00","0","0","15.2","29.5179939683941","24.0459019076562","328.989767924762"
"Year 1 Jan 01 21:00","0","0","13.1","29.0278997830147","21.8937613758867","268.287180677566"
"Year 1 Jan 01 22:00","0","0","11.925","28.440461840439","20.3175034392166","204.298584158002"
"Year 1 Jan 01 23:00","0","0","11.775","27.8031521110034","18.8791926148295","139.835747935759"
"Year 1 Jan 02 00:00","0","0","12.475","27.1526752626404","18.3985401188854","77.5334280970626"
"Year 1 Jan 02 01:00","0","0","13.45","26.5141843294865","17.9665769108347","20.8451964307848"
"Year 1 Jan 02 02:00","0","0","13.925","25.9146090285216","17.5706300118951","-27.0230275905487"
"Year 1 Jan 02 03:00","0","0","13.475","25.3563820078951","16.9071940663953","-65.3025952151871"
"Year 1 Jan 02 04:00","0","0","12.25","24.8284828810371","15.9130267528076","-94.9695881280292"
"Year 1 Jan 02 05:00","0","0","8.825","24.3206702276351","14.8976954699493","-121.185219807682"
"Year 1 Jan 02 06:00","0","0","7.575","23.8055793397729","14.1252296590448","-143.465680729158"
"Year 1 Jan 02 07:00","0","0","8.175","23.3012757244476","13.9501732109565","-167.88166432297"
"Year 1 Jan 02 08:00","14","45.75","9.6","22.8171127594086","15.2052337501762","-191.231053930309"
"Year 1 Jan 02 09:00","75.25","175.75","12.025","22.3953235045573","20.0252916077655","-210.022905175287"
"Year 1 Jan 02 10:00","131.5","267.75","14.65","22.1474934375194","24.9651076100189","-215.073778213133"
"Year 1 Jan 02 11:00","124.75","648.25","17.325","22.1611055254636","35.0182224193953","-197.641497573622"
"Year 1 Jan 02 12:00","117.5","779.5","19.275","22.5687189820354","41.0598227052106","-147.438074389113"
"Year 1 Jan 02 13:00","139.5","746.75","20.675","23.4033438002133","43.7143004711974","-64.8862870282139"
"Year 1 Jan 02 14:00","225","460.25","21.3","24.5374874161988","41.8768845145363","31.1088031650439"
"Year 1 Jan 02 15:00","255","237.5","21.7","25.6767152507895","37.7037597772643","130.884205056006"
"Year 1 Jan 02 16:00","188","147.25","21.5","26.6148826238403","33.8612197133158","204.964928011615"
"Year 1 Jan 02 17:00","98.25","61","20.95","27.2320034799887","29.6534143819189","246.29750891135"
"Year 1 Jan 02 18:00","13.5","3.5","19.6","27.5113129515144","25.3236328403776","255.72710947779"
"Year 1 Jan 02 19:00","0","0","17.925","27.47715275714","23.1936752615146","237.712145945979"
"Year 1 Jan 02 20:00","0","0","15.925","27.1954341213136","21.2153543081839","200.97218809221"
"Year 1 Jan 02 21:00","0","0","14.275","26.7634335974812","19.4249843902034","155.33050901929"
"Year 1 Jan 02 22:00","0","0","12.85","26.2440916173247","17.9172961371275","105.462263606859"
"Year 1 Jan 02 23:00","0","0","11.975","25.6730902526488","16.851990103306","55.1980048182032"
"Year 1 Jan 03 00:00","0","0","11.2","25.0793729400147","16.0199068849636","7.03434123971777"
"Year 1 Jan 03 01:00","0","0","10.7","24.484766366974","15.7700620693044","-36.2236050778764"
"Year 1 Jan 03 02:00","0","0","10","23.9105875900981","15.4394357764752","-73.3238502416676"
"Year 1 Jan 03 03:00","0","0","9.35","23.3689350253647","14.7311046332314","-102.349902264924"
"Year 1 Jan 03 04:00","0","0","8.525","22.8673650503913","14.1652605234611","-128.289189792357"
"Year 1 Jan 03 05:00","0","0","8.825","22.3917011272734","13.9433480619","-151.13691466158"
"Year 1 Jan 03 06:00","0","0","8.325","21.9452469775375","13.3188561446725","-171.916332550132"
"Year 1 Jan 03 07:00","0","0","7.95","21.5163603449018","12.9927930593539","-187.902122577069"
"Year 1 Jan 03 08:00","4.75","0.5","8.275","21.1059229870805","12.7397863491235","-202.722084273264"
"Year 1 Jan 03 09:00","44.25","20.5","9.825","20.7202364158171","14.1859500340247","-216.195139747468"
"Year 1 Jan 03 10:00","112.5","249.75","12.4","20.3946667588566","21.9776991225897","-226.791795402112"
"Year 1 Jan 03 11:00","84.25","817.5","15.725","20.2792241266129","35.847759170288","-220.719800257164"
"Year 1 Jan 03 12:00","98.25","863.5","19","20.6722775233923","41.7791211858434","-171.841481711807"
"Year 1 Jan 03 13:00","202.5","551.25","21.75","21.6265241562161","41.5286524512737","-79.5259603565731"
"Year 1 Jan 03 14:00","214.75","500.25","23.45","22.8772699799711","42.1548501895802","22.2866483751352"
"Year 1 Jan 03 15:00","166.25","498","24.175","24.1220858778777","42.5386626702616","122.811016533129"
"Year 1 Jan 03 16:00","179.25","121.5","23.85","25.2516209128359","35.8205722001192","213.351455420064"
"Year 1 Jan 03 17:00","101.25","155.25","23.025","26.1122636906598","34.224586691081","277.253049086522"
"Year 1 Jan 03 18:00","0","0","21.75","26.6534090326061","28.3006491494384","307.90466990394"
"Year 1 Jan 03 19:00","0","0","20.5","26.8722069099433","26.2963603761026","307.357951017847"
"Year 1 Jan 03 20:00","0","0","19.15","26.8108437720921","24.7097744073267","281.162407574772"
"Year 1 Jan 03 21:00","0","0","17.9","26.5734163442722","23.2898945634999","242.797203525187"
"Year 1 Jan 03 22:00","0","0","16.625","26.2369088666803","21.9148500573003","200.397296294126"
"Year 1 Jan 03 23:00","0","0","15.325","25.8441899071841","20.7227705886096","157.116832509618"
"Year 1 Jan 04 00:00","0","0","13.95","25.4123881885974","19.5391785394321","115.762405239529"
"Year 1 Jan 04 01:00","0","0","12.775","24.9595954241438","18.6931111461353","75.696849161289"
"Year 1 Jan 04 02:00","0","0","11.675","24.4962165203079","17.6030639160814","37.9207719399504"
"Year 1 Jan 04 03:00","0","0","10.875","24.0284088974267","16.7846306429278","3.16704981758875"
"Year 1 Jan 04 04:00","0","0","10.025","23.5570810917565","15.9111632037186","-29.1041949654229"
"Year 1 Jan 04 05:00","0","0","11","23.0860639194891","15.6673188960408","-58.5753396303222"
"Year 1 Jan 04 06:00","0","0","11.55","22.6275816719583","15.6242912572037","-85.3898962262067"
"Year 1 Jan 04 07:00","0","0","12.725","22.2045618298704","15.5202699678","-108.885577397469"
"Year 1 Jan 04 08:00","14.5","70.5","14.525","21.8342448802866","17.3135321758827","-129.965834832309"
"Year 1 Jan 04 09:00","71.75","314","17.475","21.5422956041952","23.6446483896236","-145.332848532881"
"Year 1 Jan 04 10:00","90.5","582.5","20.55","21.4641673361282","31.0679075099337","-144.33164235876"
"Year 1 Jan 04 11:00","59","974","23.625","21.7319564075715","39.9446541915821","-114.153310036226"
"Year 1 Jan 04 12:00","148.5","671.25","25.6","22.4458729052683","41.3615474880641","-49.4937345871243"
"Year 1 Jan 04 13:00","106.5","854.25","26.825","23.4880181810213","45.6121384114953","34.622955620795"
"Year 1 Jan 04 14:00","166.5","646.25","27.025","24.6896683563905","45.786684200977","128.771624270442"
"Year 1 Jan 04 15:00","221.5","345.25","27","25.8941727806276","42.0357440220436","228.574126690044"
"Year 1 Jan 04 16:00","188.25","207.75","26.4","26.946189760316","37.931809125541","308.809970706891"
"Year 1 Jan 04 17:00","94.25","263.5","25.6","27.6958798289652","35.3928538597913","356.955603840958"
"Year 1 Jan 04 18:00","8.5","0.5","24.05","28.1494258918684","28.7587455621336","373.806599975097"
"Year 1 Jan 04 19:00","0","0","22.4","28.2778295534751","26.3134236248022","360.123788149771"
"Year 1 Jan 04 20:00","0","0","20.35","28.1111706448112","24.3805332735264","320.158448529055"
"Year 1 Jan 04 21:00","0","0","18.675","27.7550630264914","22.720256599003","268.544684913107"
"Year 1 Jan 04 22:00","0","0","16.95","27.295364079074","21.2518176519735","213.387771179811"
"Year 1 Jan 04 23:00","0","0","15.675","26.7812582938043","19.9534601357757","158.878555145677"
"Year 1 Jan 05 00:00","0","0","14.2","26.2380791366042","19.085082369008","107.42558765243"
"Year 1 Jan 05 01:00","0","0","13.125","25.6876197337705","18.3740947210862","59.9091357634826"
"Year 1 Jan 05 02:00","0","0","12.075","25.1514801855324","17.7467955390929","17.0437164086815"
"Year 1 Jan 05 03:00","0","0","11.575","24.6347560500768","17.0571255788648","-19.9912977316551"
"Year 1 Jan 05 04:00","0","0","11.2","24.1420057054412","16.6498225880474","-52.3971849594045"
"Year 1 Jan 05 05:00","0","0","11.625","23.6688593119754","15.6828429497708","-79.7705833874632"
"Year 1 Jan 05 06:00","0","0","11.95","23.2145176599849","15.0906895750007","-104.275569468138"
"Year 1 Jan 05 07:00","0","0","12.675","22.7762082899533","15.258121419041","-128.674947012294"
"Year 1 Jan 05 08:00","13.5","58.25","14.325","22.3677524542454","16.887233234262","-151.002786502742"
"Year 1 Jan 05 09:00","48.5","414.5","16.15","22.0361466465845","24.2586116573873","-167.640216757405"
"Year 1 Jan 05 10:00","58.75","858.5","18.25","21.9230665536641","34.9645719952757","-164.71178663315"
"Year 1 Jan 05 11:00","115","682","20.15","22.2516490081858","38.3451412257217","-124.139603526016"
"Year 1 Jan 05 12:00","48","1043.75","22.1","23.0058654513849","46.7857978772037","-51.6097288614413"
"Year 1 Jan 05 13:00","87","925.5","23.575","24.1269554767369","49.7319929609594","40.1280718302996"
"Year 1 Jan 05 14:00","188","574.75","24.725","25.4841691140643","48.0812483408678","154.039942651014"
"Year 1 Jan 05 15:00","242","310.25","24.925","26.8471287943747","43.3494086366528","265.824168315217"
"Year 1 Jan 05 16:00","141.75","457","24.45","27.9618336604928","42.5831984571374","352.135647913461"
"Year 1 Jan 05 17:00","117.5","144.25","23.025","28.7900245242609","35.1333571129541","406.598089244227"
