1,"Building 1.eso"

"Date/Time","[1] Surface Outside Face Temperature  (C)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Temperature  (C)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)"
,"BLOCK1:ZONE1_WALL_3_0_0","Environment","BLOCK1:ZONE1_WALL_3_0_0","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jan 01 01:00","16.4012050148535","16.225","20.0289389900431","0","0","41.0360404811365"
"Year 1 Jan 01 02:00","16.9345348367817","17.7","19.7033367794592","0","0","7.6168847401096"
"Year 1 Jan 01 03:00","16.8602203437989","17.5","19.4403242598688","0","0","-12.3652761818138"
"Year 1 Jan 01 04:00","16.4843637833721","16.65","19.2344821048724","0","0","-24.5898685922044"
"Year 1 Jan 01 05:00","14.4362353327256","11.9","19.0558900603644","0","0","-32.9070431587021"
"Year 1 Jan 01 06:00","13.2309264620693","9.8","18.8410294073808","0","0","-38.2709694007791"
"Year 1 Jan 01 07:00","13.0365594249495","9.825","18.5685666037331","0","0","-51.8544212430369"
"Year 1 Jan 01 08:00","13.2501815283339","11.025","18.2577191391698","86.5","11.75","-67.7541222149184"
"Year 1 Jan 01 09:00","14.7891754214406","13.05","17.964615241238","431","52.75","-85.0409148660668"
"Year 1 Jan 01 10:00","16.7715124795395","15.475","17.7407267506376","767.75","62.5","-98.4415502125113"
"Year 1 Jan 01 11:00","18.5045301545213","17.675","17.6326955137751","1003.25","45.5","-103.254616243172"
"Year 1 Jan 01 12:00","20.3672730825619","19.475","17.6530062024708","937.25","75","-97.6754905118912"
"Year 1 Jan 01 13:00","23.1431665514546","20.725","17.7929997604575","789.25","126","-82.8722949114037"
"Year 1 Jan 01 14:00","30.0715616260772","21.6","18.0552824631134","646.75","166","-59.1025227702568"
"Year 1 Jan 01 15:00","34.1036053468621","22.025","18.5270633701398","461.5","185.75","-19.5596826536675"
"Year 1 Jan 01 16:00","32.3786452336028","21.95","19.2714365521221","155","189","37.0611392444194"
"Year 1 Jan 01 17:00","29.9414570833812","21.225","20.1074823868249","90","106.25","101.98560642819"
"Year 1 Jan 01 18:00","24.9381746810266","19.725","20.8217488599809","10.5","19","157.545703450005"
"Year 1 Jan 01 19:00","21.4385372691395","17.575","21.2777761140315","0","0","189.08444221836"
"Year 1 Jan 01 20:00","19.8397671065377","15.2","21.4199795309603","0","0","192.538498174627"
"Year 1 Jan 01 21:00","18.1077619525185","13.1","21.3193663444841","0","0","176.455236158988"
"Year 1 Jan 01 22:00","16.8302199487797","11.925","21.0722907504411","0","0","149.56336430223"
"Year 1 Jan 01 23:00","15.7010842650294","11.775","20.7410091117415","0","0","115.745896538766"
"Year 1 Jan 02 00:00","15.4271559951172","12.475","20.3672326768165","0","0","78.9395807208807"
"Year 1 Jan 02 01:00","15.3016312826348","13.45","19.9836684986063","0","0","43.1270153043601"
"Year 1 Jan 02 02:00","15.1818812032516","13.925","19.6207584190933","0","0","12.1795624731351"
"Year 1 Jan 02 03:00","14.7867661685321","13.475","19.2886024162191","0","0","-12.4177500598174"
"Year 1 Jan 02 04:00","13.9271802014362","12.25","18.9813573711584","0","0","-31.4259061398724"
"Year 1 Jan 02 05:00","12.8309369441526","8.825","18.6784778232954","0","0","-46.8777754046528"
"Year 1 Jan 02 06:00","11.9735921026956","7.575","18.3511748274973","0","0","-60.4677180090963"
"Year 1 Jan 02 07:00","11.8265371641669","8.175","18.0041801780872","0","0","-76.8473923091545"
"Year 1 Jan 02 08:00","12.3075796038133","9.6","17.6573471121766","45.75","14","-95.2657870583037"
"Year 1 Jan 02 09:00","14.069232487318","12.025","17.3476142970478","175.75","75.25","-112.506789149372"
"Year 1 Jan 02 10:00","16.4847033806047","14.65","17.1257648392935","267.75","131.5","-124.622664914863"
"Year 1 Jan 02 11:00","18.450623200822","17.325","17.0367580771623","648.25","124.75","-126.338661394219"
"Year 1 Jan 02 12:00","20.2837678280781","19.275","17.0973594447823","779.5","117.5","-116.724854601761"
"Year 1 Jan 02 13:00","22.6980348538107","20.675","17.2828817860498","746.75","139.5","-97.0025281461832"
"Year 1 Jan 02 14:00","27.6603047554812","21.3","17.5820204514367","460.25","225","-69.6434571756389"
"Year 1 Jan 02 15:00","29.3451496687933","21.7","18.0382749636166","237.5","255","-30.1687147670238"
"Year 1 Jan 02 16:00","28.9396736802975","21.5","18.6608926303313","147.25","188","18.4221367196408"
"Year 1 Jan 02 17:00","26.2292646510742","20.95","19.3315647714636","61","98.25","67.1606492127968"
"Year 1 Jan 02 18:00","21.8903621721134","19.6","19.8848297433383","3.5","13.5","109.476595926596"
"Year 1 Jan 02 19:00","20.0105728565887","17.925","20.2110460254554","0","0","131.44458814302"
"Year 1 Jan 02 20:00","18.3049766245402","15.925","20.2893734597329","0","0","131.90322394996"
"Year 1 Jan 02 21:00","16.8111124978048","14.275","20.1863067492219","0","0","119.040115897023"
"Year 1 Jan 02 22:00","15.5702830971845","12.85","19.9616598373771","0","0","97.3160039700503"
"Year 1 Jan 02 23:00","14.6809261956354","11.975","19.6582916807605","0","0","70.4204465761028"
"Year 1 Jan 03 00:00","13.9023682198329","11.2","19.3109460899878","0","0","41.1234766859239"
"Year 1 Jan 03 01:00","13.7241195765337","10.7","18.9406620984502","0","0","12.8575059562131"
"Year 1 Jan 03 02:00","13.3358763038712","10","18.5710465933955","0","0","-13.1445484529832"
"Year 1 Jan 03 03:00","12.6068800661143","9.35","18.2172166339091","0","0","-34.9007800333341"
"Year 1 Jan 03 04:00","12.0996569972922","8.525","17.874277710874","0","0","-53.7183799101386"
"Year 1 Jan 03 05:00","11.9314095551431","8.825","17.5316834261342","0","0","-70.2474476724584"
