1,"eplusout.eso"

"Date/Time","[1] Site Diffuse Solar Radiation Rate per Area  (W/m2)","[1] Site Direct Solar Radiation Rate per Area  (W/m2)","[1] Site Outdoor Air Drybulb Temperature  (C)","[1] Surface Inside Face Temperature  (C)","[1] Surface Outside Face Convection Heat Transfer Coefficient  (W/m2-K)","[1] Surface Outside Face Temperature  (C)","[1] Surface Inside Face Conduction Heat Transfer Rate  (W)"
,"Environment","Environment","Environment","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0","BLOCK1:ZONE1_WALL_3_0_0"
"Year 1 Jan 01 01:00","0","0","16.225","17.2761874764952","3.22178291169533","14.9793173980658","8.75182545803606"
"Year 1 Jan 01 02:00","0","0","17.7","17.0649435106021","1.86590313874333","15.5210989855803","-11.7965662407593"
"Year 1 Jan 01 03:00","0","0","17.5","16.9153528575832","1.62874888551363","15.5156943912722","-23.874584348719"
"Year 1 Jan 01 04:00","0","0","16.65","16.8103480116591","1.41280525293781","15.1896736826404","-29.1116233016618"
"Year 1 Jan 01 05:00","0","0","11.9","16.717633076449","6.83044271351933","13.4267832769891","-30.6415471203753"
"Year 1 Jan 01 06:00","0","0","9.8","16.5846713859437","5.85415978785453","12.2765084813178","-30.8279178293181"
"Year 1 Jan 01 07:00","0","0","9.825","16.3936628542738","3.76742533197831","12.1433237369287","-39.4852653449107"
"Year 1 Jan 01 08:00","11.75","86.5","11.025","16.1610026914776","1.59891622032222","12.3401885406099","-51.213187110681"
"Year 1 Jan 01 09:00","52.75","431","13.05","15.9384506883328","2.76102617250339","13.9595460474663","-64.5868230306797"
"Year 1 Jan 01 10:00","62.5","767.75","15.475","15.7790018762641","4.57373428581987","16.0180816374774","-75.0243631477726"
"Year 1 Jan 01 11:00","45.5","1003.25","17.675","15.7325017367575","7.04575570841219","17.8441841656122","-77.5162265900635"
"Year 1 Jan 01 12:00","75","937.25","19.475","15.814242162843","5.95469827026713","19.7400994257555","-70.313373036681"
"Year 1 Jan 01 13:00","126","789.25","20.725","16.0160453210112","4.60935563076618","21.3458059818586","-54.3511353233377"
"Year 1 Jan 01 14:00","166","646.75","21.6","16.3148751089693","1.68462952143289","22.5843614274818","-30.6164233031281"
"Year 1 Jan 01 15:00","185.75","461.5","22.025","16.6843805014073","1.93222931876818","23.2261089908391","-2.66123233251507"
"Year 1 Jan 01 16:00","189","155","21.95","17.090788707907","2.34158112676426","23.2505575038421","26.1264372012634"
"Year 1 Jan 01 17:00","106.25","90","21.225","17.4956576739171","3.58508992784539","22.0060507509044","52.0710390294657"
"Year 1 Jan 01 18:00","19","10.5","19.725","17.8323530594773","3.13554521692052","19.965374654085","75.0710234257238"
"Year 1 Jan 01 19:00","0","0","17.575","18.0471623618319","3.8403865079999","18.1767925622584","89.0740716386126"
"Year 1 Jan 01 20:00","0","0","15.2","18.1144705976404","2.01065063874074","17.1210348473645","92.3257992812668"
"Year 1 Jan 01 21:00","0","0","13.1","18.0542648034172","2.28598770961076","15.782883335779","86.7774540604155"
"Year 1 Jan 01 22:00","0","0","11.925","17.9030024066712","2.23723010195762","14.7754041884411","74.7120106205894"
"Year 1 Jan 01 23:00","0","0","11.775","17.6906731782905","3.68203330224276","14.021196600471","55.985688230465"
"Year 1 Jan 02 00:00","0","0","12.475","17.4418744281488","4.08100483773048","13.9450881769792","33.9949196525123"
