Date/Time,Lats,Longs,Orientation,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction (°),[1] Wind Speed (m/s),BLOCK1:ZONE1_WALL_3_0_0:Surface Outside Face Temperature [C](Hourly)
Year 1 Jan 01 01:00,23.39,87.51,90,-1,0,0,10.1,46,0,319,0.6,12.527787481901001
Year 1 Jan 01 02:00,23.39,87.51,90,-1.7,0,0,9.7,45,0,315,0.7,12.034299440725328
Year 1 Jan 01 03:00,23.39,87.51,90,-1.9,0,0,9.1,46,0,312,0.7,11.481209164351079
Year 1 Jan 01 04:00,23.39,87.51,90,-2,0,0,8.4,48,0,304,0.6,10.920293259760389
Year 1 Jan 01 05:00,23.39,87.51,90,-1.9,0,0,7.9,50,0,301,0.6,10.39889785199727
Year 1 Jan 01 06:00,23.39,87.51,90,-1.6,0,0,7.3,53,0,305,0.6,9.885587365775568
Year 1 Jan 01 07:00,23.39,87.51,90,0.8,16,22,7.4,63,0,305,0.7,13.755456566036337
Year 1 Jan 01 08:00,23.39,87.51,90,2.3,101,283,9,63,0,305,0.7,23.10403575094105
Year 1 Jan 01 09:00,23.39,87.51,90,5.9,155,503,12.8,63,0,307,0.6,29.751591349643716
Year 1 Jan 01 10:00,23.39,87.51,90,7.1,185,620,18.3,48,0,321,1,32.179975487614949
Year 1 Jan 01 11:00,23.39,87.51,90,4.7,199,685,20.2,36,0,325,1.2,30.662922042260474
Year 1 Jan 01 12:00,23.39,87.51,90,5.6,204,710,21.3,36,0,327,0.9,26.818063707678215
Year 1 Jan 01 13:00,23.39,87.51,90,5,202,702,22.5,32,0,331,0.8,25.78540157427881
Year 1 Jan 01 14:00,23.39,87.51,90,3.6,193,653,23.1,28,0,335,0.7,25.468489559812057
Year 1 Jan 01 15:00,23.39,87.51,90,4.1,172,557,23.1,29,0,342,0.5,24.755125071866645
Year 1 Jan 01 16:00,23.39,87.51,90,12.3,129,395,22.3,53,0,334,0.1,23.34892231938081
Year 1 Jan 01 17:00,23.39,87.51,90,10.6,47,165,19.3,57,0,200,0.1,20.90703015530984
Year 1 Jan 01 18:00,23.39,87.51,90,2.6,0,0,16.2,40,0,175,0.2,18.753810860168856
Year 1 Jan 01 19:00,23.39,87.51,90,2.1,0,0,14.5,43,0,163,0.3,17.37127090219282
Year 1 Jan 01 20:00,23.39,87.51,90,2,0,0,13.4,46,0.2,162,0.4,16.298678795109873
Year 1 Jan 01 21:00,23.39,87.51,90,2.3,0,0,12.4,50,0.4,169,0.4,15.375649063408419
Year 1 Jan 01 22:00,23.39,87.51,90,2.3,0,0,11.5,53,0.6,186,0.4,14.55270659918866
Year 1 Jan 01 23:00,23.39,87.51,90,2.6,0,0,10.8,57,3.5,206,0.4,13.763658085112631
Year 1 Jan 02 00:00,23.39,87.51,90,2.7,0,0,9.9,61,6.3,242,0.4,13.023732905202277
Year 1 Jan 02 01:00,23.39,87.51,90,2.4,0,0,9.3,62,9.2,285,0.6,12.315278445596772
Year 1 Jan 02 02:00,23.39,87.51,90,1.4,0,0,8.7,60,6.1,302,0.7,11.642383077220386
Year 1 Jan 02 03:00,23.39,87.51,90,0.2,0,0,7.9,58,3.1,306,0.6,10.983033179121954
Year 1 Jan 02 04:00,23.39,87.51,90,-0.7,0,0,7.2,57,0,302,0.6,10.335806752870609
