Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Direction  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs,[1] Dry Bulb Temperature (C),[1] Global Horizontal Radiation (Wh/m2),[1] Relative Humidity (),DNR,SC,hdi
Year 1 Jan 01 01:00,0,0,13.05,15.325,-86.46476311,104.954399,66,0.825,19.20833847,90,23.242,69.6669,14.9,0,85,0,0,0
Year 1 Jan 01 02:00,0,0,10.075,12.875,-78.06437399,95.76011553,22,0.275,17.74401595,90,23.242,69.6669,12.2,0,83,0,0,0
Year 1 Jan 01 03:00,0,0,7.95,12.05,-64.28105784,96.88660872,0,0,16.96437337,90,23.242,69.6669,12,0,74,0,0,0
Year 1 Jan 01 04:00,0,0,6.9,10.875,-50.56211008,99.53046163,0,0,16.3172014,90,23.242,69.6669,10.5,0,77,0,0,0
Year 1 Jan 01 05:00,0,0,11.125,12.825,-36.96261864,102.7226557,0,0,16.34352831,90,23.242,69.6669,13.6,0,94,0,5,0
Year 1 Jan 01 06:00,0,0,12.075,13.15,-23.54922492,106.4466255,0,0,16.13315574,90,23.242,69.6669,13,0,94,0,5,0
Year 1 Jan 01 07:00,0,0,12.425,13.6,-10.41659821,110.8590427,0,0.375,15.98583901,90,23.242,69.6669,13.8,0,93,0,6,0
Year 1 Jan 01 08:00,1,0,12.9,14.7,2.291253818,116.2407011,0,1.175,16.34533917,90,23.242,69.6669,15,0,88,0,5,0
Year 1 Jan 01 09:00,16.25,177,14.725,17.475,14.34374937,123.0300963,63,2.6,21.44180299,90,23.242,69.6669,18.3,4,83,0,5,4
Year 1 Jan 01 10:00,53.5,754.75,16.65,20.7,25.35832978,131.8773533,160.5,3.825,34.71619773,90,23.242,69.6669,21.5,263,76,0,3,53
Year 1 Jan 01 11:00,60.5,894.25,18.675,24.125,34.69871552,143.6300628,249,4.775,37.70622097,90,23.242,69.6669,25,475,70,0,3,55
Year 1 Jan 01 12:00,90,861,19.2,26.05,41.38508597,158.9709566,300,4.925,35.81948722,90,23.242,69.6669,26.4,612,65,0,2,77
