Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Direction  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs,[1] Dry Bulb Temperature (C),[1] Global Horizontal Radiation (Wh/m2),[1] Relative Humidity (),DNR,SC,hdi
Year 1 Jan 01 01:00,0,0,10.025,16.225,-86.37204358,134.5566433,100.25,1,19.33127316,180,22.7196,75.8577,17.4,0,68,0,6,0
Year 1 Jan 01 02:00,0,0,12.2,17.7,-72.77293702,94.94877639,25.5,0.2,19.84511881,180,22.7196,75.8577,17.8,0,71,0,3,0
Year 1 Jan 01 03:00,0,0,11.9,17.5,-59.01720087,97.40669354,0,0,19.71478381,180,22.7196,75.8577,17.4,0,69,0,1,0
Year 1 Jan 01 04:00,0,0,11.4,16.65,-45.35030576,100.4516971,0,0,19.21733779,180,22.7196,75.8577,16.4,0,72,0,0,0
Year 1 Jan 01 05:00,0,0,6.8,11.9,-31.82809726,103.9375935,326.25,2.925,16.62674769,180,22.7196,75.8577,10.4,0,70,0,0,0
Year 1 Jan 01 06:00,0,0,5.375,9.8,-18.52634002,107.9730355,207,2.325,15.27319547,180,22.7196,75.8577,9.6,0,75,0,0,0
Year 1 Jan 01 07:00,0,0,5.4,9.825,-5.556165217,112.7756476,117.75,1.275,15.18985691,180,22.7196,75.8577,9.9,0,73,0,0,0
Year 1 Jan 01 08:00,11.75,86.5,5.475,11.025,6.909846885,118.6864899,25,0.275,16.92832999,180,22.7196,75.8577,11.4,0,67,0,0,0
Year 1 Jan 01 09:00,52.75,431,5.5,13.05,18.59138834,126.2202956,17.25,1.05,24.87442871,180,22.7196,75.8577,13.6,107,58,346,0,47
Year 1 Jan 01 10:00,62.5,767.75,5.65,15.475,29.02162221,136.10957,5.75,1.85,33.90863532,180,22.7196,75.8577,16.1,321,50,686,0,70
Year 1 Jan 01 11:00,45.5,1003.25,5.925,17.675,37.43964681,149.2019111,17.25,2.975,41.22641499,180,22.7196,75.8577,18.2,569,45,1013,0,40
Year 1 Jan 01 12:00,75,937.25,6.675,19.475,42.75743033,165.8499932,5.75,2.475,45.36950483,180,22.7196,75.8577,19.9,679,43,974,0,62
Year 1 Jan 01 13:00,126,789.25,7.35,20.725,43.90257057,184.7240335,0,1.825,47.50065721,180,22.7196,75.8577,21,685,42,827,0,114
Year 1 Jan 01 14:00,166,646.75,8.025,21.6,40.58906367,202.8025196,0,0.425,48.74974363,180,22.7196,75.8577,21.8,628,42,676,0,162
Year 1 Jan 01 15:00,185.75,461.5,8.2,22.025,33.58705615,217.7239219,117,0.375,45.98794685,180,22.7196,75.8577,22.1,532,41,559,0,178
Year 1 Jan 01 16:00,189,155,8.275,21.95,24.05590068,229.1327482,230.25,0.425,39.51414831,180,22.7196,75.8577,21.9,297,42,169,0,209
Year 1 Jan 01 17:00,106.25,90,8.075,21.225,12.932231,237.7515583,153.75,1.375,34.38402213,180,22.7196,75.8577,21,170,43,113,0,129
Year 1 Jan 01 18:00,19,10.5,7.925,19.725,0.818045816,244.4046595,301.5,1.175,29.20725458,180,22.7196,75.8577,19.3,41,48,21,0,38
Year 1 Jan 01 19:00,0,0,7.525,17.575,-11.92438378,249.7149428,209.25,1.15,25.87428574,180,22.7196,75.8577,17,0,53,0,0,0
Year 1 Jan 01 20:00,0,0,7.25,15.2,-25.07560242,254.1038709,136.25,0.3,24.04590191,180,22.7196,75.8577,14.6,0,61,0,0,0
Year 1 Jan 01 21:00,0,0,6.675,13.1,-38.4976935,257.8466121,0,0.45,21.89376138,180,22.7196,75.8577,12.6,0,66,0,0,0
Year 1 Jan 01 22:00,0,0,6.35,11.925,-52.09944464,261.1089525,0,0.45,20.31750344,180,22.7196,75.8577,11.7,0,70,0,0,0
Year 1 Jan 01 23:00,0,0,6.075,11.775,-65.81651281,263.9193897,17.25,1.375,18.87919261,180,22.7196,75.8577,11.8,0,68,0,0,0
Year 1 Jan 02 00:00,0,0,6.15,12.475,-79.59768353,265.5009003,77,1.625,18.39854012,180,22.7196,75.8577,12.7,0,65,0,0,0
Year 1 Jan 02 01:00,0,0,6.275,13.45,-86.45185911,123.8509692,203,2.425,17.96657691,180,22.7196,75.8577,13.7,0,61,0,0,0
Year 1 Jan 02 02:00,0,0,6.45,13.925,-72.87604767,94.64330542,279.5,2.775,17.57063001,180,22.7196,75.8577,14,0,60,0,0,0
Year 1 Jan 02 03:00,0,0,6.2,13.475,-59.11466057,97.22339353,179,3.85,16.90719407,180,22.7196,75.8577,13.3,0,61,0,0,0
Year 1 Jan 02 04:00,0,0,5.8,12.25,-45.44194343,100.31009,173.25,3.975,15.91302675,180,22.7196,75.8577,11.9,0,66,0,0,0
Year 1 Jan 02 05:00,0,0,4.8,8.825,-31.91312976,103.8139806,176,0.975,14.89769547,180,22.7196,75.8577,7.8,0,80,0,0,0
Year 1 Jan 02 06:00,0,0,5.55,7.575,-18.60351044,107.8561327,15.75,0,14.12522966,180,22.7196,75.8577,7.5,0,90,0,2,0
Year 1 Jan 02 07:00,0,0,7.175,8.175,-5.623590444,112.6581051,5.25,0,13.95017321,180,22.7196,75.8577,8.4,0,95,0,5,0
Year 1 Jan 02 08:00,14,45.75,8.8,9.6,6.854980518,118.5622218,0,0,15.20523375,180,22.7196,75.8577,10,0,95,0,7,0
Year 1 Jan 02 09:00,75.25,175.75,10.475,12.025,18.55329114,126.0836496,0,0.825,20.02529161,180,22.7196,75.8577,12.7,88,89,183,7,56
Year 1 Jan 02 10:00,131.5,267.75,11.8,14.65,29.00642221,135.9562376,5.25,1.55,24.96510761,180,22.7196,75.8577,15.3,189,81,154,6,133
Year 1 Jan 02 11:00,124.75,648.25,12.55,17.325,37.4552573,149.0333429,35.5,2.525,35.01822242,180,22.7196,75.8577,18,445,71,609,3,127
Year 1 Jan 02 12:00,117.5,779.5,12.7,19.275,42.81074271,165.6818025,140.25,2.8,41.05982271,180,22.7196,75.8577,19.7,603,64,766,2,118
Year 1 Jan 02 13:00,139.5,746.75,12.7,20.675,43.99303375,184.5858538,236.5,3.1,43.71430047,180,22.7196,75.8577,21,683,59,820,2,116
Year 1 Jan 02 14:00,225,460.25,12.625,21.3,40.70609939,202.7147581,154.5,2.9,41.87688451,180,22.7196,75.8577,21.4,575,57,527,2,210
Year 1 Jan 02 15:00,255,237.5,12.825,21.7,33.71741495,217.6829651,3.75,3.1,37.70375978,180,22.7196,75.8577,21.8,435,57,260,1,270
Year 1 Jan 02 16:00,188,147.25,13.125,21.5,24.19048698,229.124662,22.25,3.05,33.86121971,180,22.7196,75.8577,21.4,299,60,170,1,210
Year 1 Jan 02 17:00,98.25,61,13.35,20.95,13.06642001,237.7650438,7,3.225,29.65341438,180,22.7196,75.8577,20.8,151,63,79,0,122
Year 1 Jan 02 18:00,13.5,3.5,13.25,19.6,0.949792447,244.4335223,24.75,3,25.32363284,180,22.7196,75.8577,19.2,29,68,7,0,27
Year 1 Jan 02 19:00,0,0,12.825,17.925,-11.79592379,249.7570538,16.5,2.975,23.19367526,180,22.7196,75.8577,17.5,0,74,0,0,0
Year 1 Jan 02 20:00,0,0,12.175,15.925,-24.95076861,254.1604577,2.75,2.85,21.21535431,180,22.7196,75.8577,15.4,0,80,0,0,0
Year 1 Jan 02 21:00,0,0,11.625,14.275,-38.37664506,257.923017,276,3.25,19.42498439,180,22.7196,75.8577,13.9,0,85,0,0,0
Year 1 Jan 02 22:00,0,0,10.9,12.85,-51.98232956,261.2188269,176.75,3.325,17.91729614,180,22.7196,75.8577,12.5,0,89,0,0,0
Year 1 Jan 02 23:00,0,0,10.175,11.975,-65.7036432,264.1034773,55.5,3.3,16.8519901,180,22.7196,75.8577,11.8,0,89,0,0,0
Year 1 Jan 03 00:00,0,0,8.95,11.2,-79.49059885,266.0129078,5.75,2.4,16.01990688,180,22.7196,75.8577,11,0,85,0,1,0
Year 1 Jan 03 01:00,0,0,7.55,10.7,-86.50725842,110.9730008,0,1.5,15.77006207,180,22.7196,75.8577,10.6,0,79,0,0,0
Year 1 Jan 03 02:00,0,0,5.925,10,-72.97725057,94.30750971,0,0.325,15.43943578,180,22.7196,75.8577,9.8,0,74,0,0,0
Year 1 Jan 03 03:00,0,0,4.6,9.35,-59.20996663,97.02454429,0,0,14.73110463,180,22.7196,75.8577,9.2,0,71,0,0,0
Year 1 Jan 03 04:00,0,0,3.925,8.525,-45.53108155,100.1576869,19.5,0,14.16526052,180,22.7196,75.8577,8.3,0,73,0,0,0
Year 1 Jan 03 05:00,0,0,7.1,8.825,-31.99526375,103.6818191,6.5,0,13.94334806,180,22.7196,75.8577,9,0,95,0,0,0
Year 1 Jan 03 06:00,0,0,7.975,8.325,-18.6773302,107.7319165,0,0.075,13.31885614,180,22.7196,75.8577,8.1,0,99,0,0,0
Year 1 Jan 03 07:00,0,0,7.075,7.95,-5.687148183,112.5339832,0,0.025,12.99279306,180,22.7196,75.8577,7.9,0,93,0,0,0
Year 1 Jan 03 08:00,4.75,0.5,7.175,8.275,6.80457909,118.4318563,0,0,12.73978635,180,22.7196,75.8577,8.4,0,93,0,0,0
Year 1 Jan 03 09:00,44.25,20.5,9.025,9.825,18.52035022,125.9413329,6.75,0.075,14.18595003,180,22.7196,75.8577,10.3,19,95,2,0,19
Year 1 Jan 03 10:00,112.5,249.75,10.35,12.4,28.99715431,135.7978689,30,0.7,21.97769912,180,22.7196,75.8577,13.1,147,85,76,0,120
Year 1 Jan 03 11:00,84.25,817.5,11.8,15.725,37.47757635,148.8610043,60.25,1.5,35.84775917,180,22.7196,75.8577,16.6,492,76,771,0,90
Year 1 Jan 03 12:00,98.25,863.5,12.8,19,42.87130047,165.5122099,95,2.525,41.77912119,180,22.7196,75.8577,19.8,673,65,957,0,67
Year 1 Jan 03 13:00,202.5,551.25,13.45,21.75,44.09067912,184.449557,113.75,3.175,41.52865245,180,22.7196,75.8577,22.4,596,58,583,1,192
Year 1 Jan 03 14:00,214.75,500.25,13.375,23.45,40.82953682,202.6317967,114,3.3,42.15485019,180,22.7196,75.8577,23.8,550,52,456,1,234
Year 1 Jan 03 15:00,166.25,498,13.225,24.175,33.85300748,217.648414,86,2.55,42.53866267,180,22.7196,75.8577,24.3,560,50,633,2,157
Year 1 Jan 03 16:00,179.25,121.5,12.75,23.85,24.32913579,229.1235518,48.5,1.475,35.8205722,180,22.7196,75.8577,23.7,243,50,93,3,194
Year 1 Jan 03 17:00,101.25,155.25,12.45,23.025,13.20366293,237.7856516,9.75,0.3,34.22458669,180,22.7196,75.8577,22.8,212,52,207,3,135
Year 1 Jan 03 18:00,0,0,12.1,21.75,1.083763289,244.4696221,0,0,28.30064915,180,22.7196,75.8577,21.4,0,55,0,2,0
Year 1 Jan 03 19:00,0,0,12.225,20.5,-11.6659215,249.8066958,0,0,26.29636038,180,22.7196,75.8577,20.2,0,61,0,2,0
Year 1 Jan 03 20:00,0,0,12.45,19.15,-24.8249615,254.2252121,0,0,24.70977441,180,22.7196,75.8577,18.8,0,67,0,2,0
Year 1 Jan 03 21:00,0,0,13.025,17.9,-38.25510599,258.0088124,3.75,0.075,23.28989456,180,22.7196,75.8577,17.6,0,75,0,3,0
Year 1 Jan 03 22:00,0,0,13.05,16.625,-51.86513423,261.3404527,8,0.25,21.91485006,180,22.7196,75.8577,16.3,0,81,0,3,0
Year 1 Jan 03 23:00,0,0,12.7,15.325,-65.59101752,264.3045122,2.25,0.075,20.72277059,180,22.7196,75.8577,15,0,86,0,5,0
Year 1 Jan 04 00:00,0,0,11.775,13.95,-79.38374753,266.5576849,0,0,19.53917854,180,22.7196,75.8577,13.6,0,87,0,3,0
Year 1 Jan 04 01:00,0,0,10.675,12.775,-86.53497565,99.23220884,0,0,18.69311115,180,22.7196,75.8577,12.5,0,87,0,2,0
Year 1 Jan 04 02:00,0,0,9.5,11.675,-73.07631664,93.94107004,0,0,17.60306392,180,22.7196,75.8577,11.4,0,86,0,0,0
Year 1 Jan 04 03:00,0,0,8.825,10.875,-59.30295936,96.81014224,0,0,16.78463064,180,22.7196,75.8577,10.7,0,87,0,0,0
Year 1 Jan 04 04:00,0,0,8.4,10.025,-45.61758954,99.99453131,3.75,0.15,15.9111632,180,22.7196,75.8577,9.8,0,90,0,0,0
Year 1 Jan 04 05:00,0,0,10.325,11,-32.074388,103.541167,102.5,0.875,15.6673189,180,22.7196,75.8577,11.4,0,98,0,0,0
Year 1 Jan 04 06:00,0,0,10.7,11.55,-18.74770435,107.6004527,152.25,0.95,15.62429126,180,22.7196,75.8577,11.6,0,94,0,1,0
Year 1 Jan 04 07:00,0,0,12.1,12.725,-5.746759362,112.4033536,167,1.575,15.52026997,180,22.7196,75.8577,13.1,0,97,0,2,0
Year 1 Jan 04 08:00,14.5,70.5,13.425,14.525,6.758704794,118.2954707,143.75,2.1,17.31353218,180,22.7196,75.8577,15,0,92,0,3,0
Year 1 Jan 04 09:00,71.75,314,14.15,17.475,18.492609,125.7934271,132,3.625,23.64464839,180,22.7196,75.8577,18.3,107,78,282,5,58
Year 1 Jan 04 10:00,90.5,582.5,14.825,20.55,28.99384118,135.634546,123.5,4.7,31.06790751,180,22.7196,75.8577,21.3,262,68,410,5,113
Year 1 Jan 04 11:00,59,974,15.075,23.625,37.50660543,148.6849728,148.75,5.8,39.94465419,180,22.7196,75.8577,24.4,603,56,1100,3,23
Year 1 Jan 04 12:00,148.5,671.25,15.1,25.6,42.9390856,165.3412905,172.25,5.575,41.36154749,180,22.7196,75.8577,26,545,51,596,3,167
Year 1 Jan 04 13:00,106.5,854.25,14.575,26.825,44.19546897,184.315231,208.5,5.175,45.61213841,180,22.7196,75.8577,27.1,715,46,897,3,93
Year 1 Jan 04 14:00,166.5,646.25,14.025,27.025,40.95931483,202.5537352,223.5,4.2,45.7866842,180,22.7196,75.8577,27,651,45,726,3,147
Year 1 Jan 04 15:00,221.5,345.25,13.375,27,33.99375078,217.620356,239.25,4.125,42.03574402,180,22.7196,75.8577,27,485,43,407,3,225
Year 1 Jan 04 16:00,188.25,207.75,13.125,26.4,24.47175013,229.1294782,229.75,4.125,37.93180913,180,22.7196,75.8577,26.2,296,44,160,3,211
Year 1 Jan 04 17:00,94.25,263.5,13.025,25.6,13.34385683,237.8134146,225,4.775,35.39285386,180,22.7196,75.8577,25.4,251,46,351,2,120
Year 1 Jan 04 18:00,8.5,0.5,13.3,24.05,1.219855236,244.5129678,210,4.7,28.75874556,180,22.7196,75.8577,23.6,17,53,1,1,17
Year 1 Jan 04 19:00,0,0,13.4,22.4,-11.53447614,249.8638553,223.75,4.675,26.31342362,180,22.7196,75.8577,22,0,58,0,0,0
Year 1 Jan 04 20:00,0,0,13.1,20.35,-24.69827315,254.2980965,243.5,4.1,24.38053327,180,22.7196,75.8577,19.8,0,65,0,0,0
Year 1 Jan 04 21:00,0,0,12.1,18.675,-38.13315737,258.1039275,281,4.05,22.7202566,180,22.7196,75.8577,18.3,0,66,0,0,0
Year 1 Jan 04 22:00,0,0,10.9,16.95,-51.74792232,261.473699,283.75,3.575,21.25181765,180,22.7196,75.8577,16.5,0,68,0,2,0
