Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Direction  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs
Year 1 Jan 01 01:00,0,0,5.6,14.075,-86.55020906,91.10404511,220,2.925,17.42580086,0,23.0225,72.5714
Year 1 Jan 01 02:00,0,0,6.5,13.55,-75.71045682,93.15709869,180,1.725,17.43622366,0,23.0225,72.5714
Year 1 Jan 01 03:00,0,0,7.4,13.125,-61.9580562,96.15906337,45,0.35,17.43028618,0,23.0225,72.5714
Year 1 Jan 01 04:00,0,0,7.825,12.4,-48.28684593,99.3826864,0,0.375,17.41044392,0,23.0225,72.5714
Year 1 Jan 01 05:00,0,0,7.975,11.6,-34.74934753,102.9230379,0,0.875,17.37494841,0,23.0225,72.5714
Year 1 Jan 01 06:00,0,0,8.15,10.8,-21.41656587,106.933663,345,1.375,17.32465741,0,23.0225,72.5714
Year 1 Jan 01 07:00,0,0,7.9,10.975,-8.391359932,111.6341177,340,1.125,17.26024917,0,23.0225,72.5714
Year 1 Jan 01 08:00,34.75,54.75,7.875,11.4,4.168492016,117.3454366,340,0.625,17.18598992,0,23.0225,72.5714
Year 1 Jan 01 09:00,110.25,294.5,7.9,11.875,16.00945873,124.5429059,175,0.125,17.10476097,0,23.0225,72.5714
Year 1 Jan 01 10:00,131.5,584,10.15,14.325,26.71196705,133.9074625,0,0.75,17.01796194,0,23.0225,72.5714
Year 1 Jan 01 11:00,106.25,785.75,12.775,17.5,35.58822466,146.2728644,0,1.825,16.93729115,0,23.0225,72.5714
Year 1 Jan 01 12:00,117,829.75,15.05,20.625,41.619466,162.1623018,37.5,2.85,16.87358698,0,23.0225,72.5714
Year 1 Jan 01 13:00,118.75,846.5,14.7,21.775,43.69151378,180.686594,50,2.95,16.83007944,0,23.0225,72.5714
Year 1 Jan 01 14:00,112.5,836.5,13.425,22.35,41.30471304,199.0962372,50,2.825,16.80528533,0,23.0225,72.5714
Year 1 Jan 01 15:00,103.25,784.5,12.05,22.875,35.02866545,214.7367889,12.5,2.65,16.80172638,0,23.0225,72.5714
Year 1 Jan 01 16:00,95.75,645.75,11.775,22.7,25.9901698,226.8591889,0,2.45,16.82144851,0,23.0225,72.5714
Year 1 Jan 01 17:00,76.5,363.75,11.875,22.3,15.18626478,236.0399943,0,2.325,16.8620416,0,23.0225,72.5714
Year 1 Jan 01 18:00,29.25,38.25,11.9,21.9,3.281851426,243.1099705,330,2.15,16.91931142,0,23.0225,72.5714
Year 1 Jan 01 19:00,0,0,11.225,20.375,-9.318629231,248.7345706,320,1.575,16.98893838,0,23.0225,72.5714
Year 1 Jan 01 20:00,0,0,10.325,18.4,-22.37049192,253.3759416,320,0.875,17.0634659,0,23.0225,72.5714
Year 1 Jan 01 21:00,0,0,9.275,16.475,-35.72101752,257.3462045,170,0.175,17.13447031,0,23.0225,72.5714
Year 1 Jan 01 22:00,0,0,8.25,15.775,-49.27026744,260.8591843,0,0.9,17.19716985,0,23.0225,72.5714
Year 1 Jan 01 23:00,0,0,7.1,15.55,-62.94893805,264.0644988,0,2.1,17.24933118,0,23.0225,72.5714
Year 1 Jan 02 00:00,0,0,5.9,15.275,-76.70548083,267.0505884,345,3.3,17.29066264,0,23.0225,72.5714
Year 1 Jan 02 01:00,0,0,5.9,14.375,-86.54868177,89.71502397,340,2.7,17.31986994,0,23.0225,72.5714
Year 1 Jan 02 02:00,0,0,6.225,13.35,-75.81263577,92.77829774,340,1.5,17.33366964,0,23.0225,72.5714
Year 1 Jan 02 03:00,0,0,6.525,12.275,-62.05547903,95.9576762,175,0.3,17.33014381,0,23.0225,72.5714
Year 1 Jan 02 04:00,0,0,6.6,11.325,-48.37886986,99.23353398,0,0,17.30935604,0,23.0225,72.5714
