Date/Time,[1] Site Diffuse Solar Radiation Rate per Area  (W/m2),[1] Site Direct Solar Radiation Rate per Area  (W/m2),[1] Site Outdoor Air Dewpoint Temperature  (C),[1] Site Outdoor Air Drybulb Temperature  (C),[1] Site Solar Altitude Angle  (deg),[1] Site Solar Azimuth Angle  (deg),[1] Site Wind Direction  (deg),[1] Site Wind Speed  (m/s),[1] Surface Outside Face Temperature  (C),Orientation,Lats,Longs
Year 1 Jan 01 01:00,0,0,13.05,15.325,-86.46476311,104.954399,66,0.825,20.65133824,180,23.242,69.6669
Year 1 Jan 01 02:00,0,0,10.075,12.875,-78.06437399,95.76011553,22,0.275,19.07538358,180,23.242,69.6669
Year 1 Jan 01 03:00,0,0,7.95,12.05,-64.28105784,96.88660872,0,0,18.26714219,180,23.242,69.6669
Year 1 Jan 01 04:00,0,0,6.9,10.875,-50.56211008,99.53046163,0,0,17.54541887,180,23.242,69.6669
Year 1 Jan 01 05:00,0,0,11.125,12.825,-36.96261864,102.7226557,0,0,17.52604707,180,23.242,69.6669
Year 1 Jan 01 06:00,0,0,12.075,13.15,-23.54922492,106.4466255,0,0,17.26623871,180,23.242,69.6669
Year 1 Jan 01 07:00,0,0,12.425,13.6,-10.41659821,110.8590427,0,0.375,17.01602707,180,23.242,69.6669
Year 1 Jan 01 08:00,1,0,12.9,14.7,2.291253818,116.2407011,0,1.175,17.26147644,180,23.242,69.6669
Year 1 Jan 01 09:00,16.25,177,14.725,17.475,14.34374937,123.0300963,63,2.6,21.00844203,180,23.242,69.6669
Year 1 Jan 01 10:00,53.5,754.75,16.65,20.7,25.35832978,131.8773533,160.5,3.825,33.03978061,180,23.242,69.6669
Year 1 Jan 01 11:00,60.5,894.25,18.675,24.125,34.69871552,143.6300628,249,4.775,39.88750369,180,23.242,69.6669
Year 1 Jan 01 12:00,90,861,19.2,26.05,41.38508597,158.9709566,300,4.925,44.73027293,180,23.242,69.6669
Year 1 Jan 01 13:00,172,655,18.975,27,44.24838343,177.3528708,304.75,4.675,45.93848527,180,23.242,69.6669
Year 1 Jan 01 14:00,298,284.75,17.925,26.45,42.60220862,196.1885431,278.25,4.075,42.3192813,180,23.242,69.6669
Year 1 Jan 01 15:00,269.75,164.25,17.75,25.9,36.85749154,212.508632,249,3.825,38.64735781,180,23.242,69.6669
Year 1 Jan 01 16:00,199.25,95.25,17.8,24.9,28.13653626,225.2094395,242,3.725,35.04311655,180,23.242,69.6669
Year 1 Jan 01 17:00,135.5,102.5,18.85,24.3,17.50650462,234.7687346,263,3.85,32.97670748,180,23.242,69.6669
Year 1 Jan 01 18:00,44.25,17.25,19.5,23.15,5.693419198,242.0507578,294.75,3.525,29.00320642,180,23.242,69.6669
Year 1 Jan 01 19:00,0,0,20.125,22.425,-6.861676851,247.7688291,308.25,2.95,26.61537062,180,23.242,69.6669
Year 1 Jan 01 20:00,0,0,19.925,21.325,-19.89434924,252.4147506,280,1.975,25.36763671,180,23.242,69.6669
Year 1 Jan 01 21:00,0,0,19.8,20.775,-33.24137518,256.3078424,207,1.1,24.89654847,180,23.242,69.6669
Year 1 Jan 01 22:00,0,0,18.825,19.725,-46.79709703,259.6384231,109.5,0.3,24.07114614,180,23.242,69.6669
Year 1 Jan 01 23:00,0,0,17.675,18.8,-60.48873172,262.4542625,21,0.025,23.08667405,180,23.242,69.6669
Year 1 Jan 02 00:00,0,0,15.6,17.1,-74.26033397,264.3112601,0,0,22.0085597,180,23.242,69.6669
Year 1 Jan 02 01:00,0,0,14.1,15.775,-86.4796996,103.779007,0,0,21.15023076,180,23.242,69.6669
Year 1 Jan 02 02:00,0,0,12.675,14.375,-78.17195796,95.33373591,0,0,20.11031902,180,23.242,69.6669
Year 1 Jan 02 03:00,0,0,12.45,14,-64.38157928,96.67576015,21,0.15,19.19172703,180,23.242,69.6669
Year 1 Jan 02 04:00,0,0,12.125,13.55,-50.656718,99.37804181,28,0.05,18.58869774,180,23.242,69.6669
Year 1 Jan 02 05:00,0,0,12.15,13.25,-37.05086476,102.5945087,7,0,18.11621009,180,23.242,69.6669
Year 1 Jan 02 06:00,0,0,11.3,12.3,-23.63010364,106.3286033,36.75,0,17.24914277,180,23.242,69.6669
Year 1 Jan 02 07:00,0,0,11.675,12.3,-10.48852696,110.7428408,12.25,0,16.77880671,180,23.242,69.6669
Year 1 Jan 02 08:00,5.75,7,11.9,12.85,2.230664936,116.1199425,0,0,17.07496078,180,23.242,69.6669
Year 1 Jan 02 09:00,30.5,197,11.825,15.4,14.29809976,122.8989489,0,0.675,21.25417353,180,23.242,69.6669
Year 1 Jan 02 10:00,54.75,744.75,12.175,18.45,25.33297052,131.7306456,0,2.025,33.38925044,180,23.242,69.6669
Year 1 Jan 02 11:00,66.75,863,12.6,22.05,34.701047,143.4660784,17.25,3.525,40.25876323,180,23.242,69.6669
Year 1 Jan 02 12:00,78.75,896,13.3,24.275,41.42310299,158.7988833,261.5,4.875,43.9198805,180,23.242,69.6669
Year 1 Jan 02 13:00,70.75,976.5,13.425,25.9,44.32527532,177.198862,269.75,5.725,46.97809263,180,23.242,69.6669
Year 1 Jan 02 14:00,125.25,791.5,13.4,26.075,42.71077697,196.080397,161.5,6.05,47.07846545,180,23.242,69.6669
Year 1 Jan 02 15:00,163,592,12.725,26.3,36.98421438,212.4514463,253.5,5.875,44.61319215,180,23.242,69.6669
Year 1 Jan 02 16:00,210.75,256,12.125,25.65,28.27030275,225.1908024,169.25,5.5,38.53950042,180,23.242,69.6669
Year 1 Jan 02 17:00,114.5,358.75,11.475,25.1,17.64116725,234.7754387,72,5.1,37.55913352,180,23.242,69.6669
Year 1 Jan 02 18:00,53.25,34.5,11.375,23.575,5.826160224,242.0746659,129.75,4.775,30.82144809,180,23.242,69.6669
Year 1 Jan 02 19:00,0,0,10.95,22.5,-6.732043188,247.8063963,207.5,4.25,27.30810274,180,23.242,69.6669
Year 1 Jan 02 20:00,0,0,10.725,21.175,-19.76830605,252.4659642,146,3.5,25.63409683,180,23.242,69.6669
Year 1 Jan 02 21:00,0,0,10.025,20.875,-33.11914191,256.3763123,297,2.475,24.80314303,180,23.242,69.6669
Year 1 Jan 02 22:00,0,0,9.65,20.3,-46.67885148,259.7338616,220.5,1.3,24.16121027,180,23.242,69.6669
Year 1 Jan 02 23:00,0,0,9.675,20.025,-60.37480389,262.6029383,140.5,0.25,23.65879431,180,23.242,69.6669
Year 1 Jan 03 00:00,0,0,10.9,18.65,-74.15188987,264.6224005,0,0,22.71408334,180,23.242,69.6669
