Date/Time,[1] Dew Point Temperature (C),[1] Diffuse Horizontal Radiation (Wh/m2),[1] Direct Normal Radiation (Wh/m2),[1] Dry Bulb Temperature (C),[1] Relative Humidity (),[1] Total Sky Cover (tenths),[1] Wind Direction ,[1] Wind Speed (m/s),[1] Surface Outside Face Temperature ,Lats,Longs
Year 1 Jan 01 01:00,4.6,0,0,11.6,62,4,180,0,17.17216595,26.263863,73.008957
Year 1 Jan 01 02:00,4,0,0,10.9,63,4,180,0,15.30095618,26.263863,73.008957
Year 1 Jan 01 03:00,3.9,0,0,10.6,63,4,180,0,14.50183686,26.263863,73.008957
Year 1 Jan 01 04:00,4.1,0,0,10.1,67,3,180,0,14.08605138,26.263863,73.008957
Year 1 Jan 01 05:00,4.4,0,0,9.6,70,2,180,0,14.40957088,26.263863,73.008957
Year 1 Jan 01 06:00,4.6,0,0,9.8,70,0,180,0,14.30569597,26.263863,73.008957
Year 1 Jan 01 07:00,4.5,0,0,9.7,70,1,180,0,13.98941346,26.263863,73.008957
Year 1 Jan 01 08:00,4.4,14,104,9.4,71,4,180,0,14.07408857,26.263863,73.008957
Year 1 Jan 01 09:00,5.3,79,209,10.3,71,6,180,0,15.5734615,26.263863,73.008957
Year 1 Jan 01 10:00,6.7,148,351,14.6,59,7,180,0,18.21537288,26.263863,73.008957
Year 1 Jan 01 11:00,6.3,172,548,19.9,41,7,180,0,20.76655741,26.263863,73.008957
Year 1 Jan 01 12:00,3.9,158,726,21.7,31,6,180,0,23.71636452,26.263863,73.008957
Year 1 Jan 01 13:00,2.6,140,823,23.1,26,5,180,0,26.42483796,26.263863,73.008957
Year 1 Jan 01 14:00,2.7,155,757,23.8,25,5,180,0,32.04742701,26.263863,73.008957
Year 1 Jan 01 15:00,2.3,127,788,23.4,25,4,180,0,36.81579109,26.263863,73.008957
Year 1 Jan 01 16:00,1.9,103,745,23.5,24,3,180,0,37.83146808,26.263863,73.008957
Year 1 Jan 01 17:00,2.2,76,593,23.2,25,2,180,0,34.60380615,26.263863,73.008957
Year 1 Jan 01 18:00,3.3,30,203,20.5,32,0,180,0,27.80592387,26.263863,73.008957
Year 1 Jan 01 19:00,4.4,0,0,17,43,0,180,0,25.38319709,26.263863,73.008957
Year 1 Jan 01 20:00,5.2,0,0,14.9,52,0,180,0,23.69459765,26.263863,73.008957
Year 1 Jan 01 21:00,5.5,0,0,13.6,58,0,180,0,22.22550277,26.263863,73.008957
Year 1 Jan 01 22:00,5.8,0,0,12.9,62,0,180,0,20.82396388,26.263863,73.008957
Year 1 Jan 01 23:00,6.1,0,0,12,67,0,180,0,20.08066699,26.263863,73.008957
Year 1 Jan 02 00:00,6.7,0,0,11.1,74,0,180,0,19.43039513,26.263863,73.008957
Year 1 Jan 02 01:00,5.6,0,0,10.4,72,0,180,0.1,18.78274286,26.263863,73.008957
Year 1 Jan 02 02:00,5.3,0,0,10.1,72,0,180,0.3,18.15875135,26.263863,73.008957
Year 1 Jan 02 03:00,3.8,0,0,11,61,0,180,0.4,17.36098973,26.263863,73.008957
Year 1 Jan 02 04:00,3.6,0,0,10.8,61,0,180,0.6,16.81847895,26.263863,73.008957
Year 1 Jan 02 05:00,3.8,0,0,10.7,63,0,180,0.8,15.47586596,26.263863,73.008957
Year 1 Jan 02 06:00,4.4,0,0,10.4,67,0,50,0.9,14.07533483,26.263863,73.008957
Year 1 Jan 02 07:00,5.1,0,0,10.1,71,0,50,0.8,13.75405153,26.263863,73.008957
Year 1 Jan 02 08:00,5.8,10,240,10,75,1,50,0.5,14.39890363,26.263863,73.008957
Year 1 Jan 02 09:00,7.7,63,481,12.2,74,2,50,0.2,16.13682901,26.263863,73.008957
Year 1 Jan 02 10:00,9.4,84,765,16,65,2,50,0,18.70644479,26.263863,73.008957
Year 1 Jan 02 11:00,7,102,850,17.8,49,1,50,0,20.72110065,26.263863,73.008957
Year 1 Jan 02 12:00,5.9,90,977,21.6,36,0,50,0,22.69769414,26.263863,73.008957
Year 1 Jan 02 13:00,4,90,998,22.9,29,0,50,0.1,25.17215844,26.263863,73.008957
Year 1 Jan 02 14:00,1.5,63,1091,24.5,22,2,50,0.3,31.79540945,26.263863,73.008957
Year 1 Jan 02 15:00,0.6,97,910,24.2,21,3,50,0.4,37.68985752,26.263863,73.008957
Year 1 Jan 02 16:00,0.4,101,759,24.7,20,4,50,0.6,39.68716915,26.263863,73.008957
